"_Outcome","_Years","_ZIP","Age group","Age-adjusted rate per 10,000","Note","ZCTA5CE20","CLASSFP20","MTFCC20","FUNCSTAT20","ALAND20","AWATER20","INTPTLAT20","INTPTLON20","value_cat","X","NAME","total_popE","total_popM","whiteE","whiteM","blackE","blackM","asianE","asianM","hispanicE","hispanicM","povertyE","povertyM","median_incomeE","median_incomeM","num_plants","near_plant"
"ED visits","2017-2021",55343,"All ages",31.1,NA,"55343","B5","G6350","S",19933188,674019,"+44.9143724","-093.4162539","30-45",18945,"ZCTA5 55343",26472,827,18176,1038,4659,936,1732,517,1657,651,2467,652,71659,4572,1,TRUE
"ED visits","2017-2021",55445,"All ages",31.1,NA,"55445","B5","G6350","S",20312288,96468,"+45.1224406","-093.3791842","30-45",19034,"ZCTA5 55445",13330,1110,6138,690,2331,557,3499,571,746,287,744,418,92478,10801,NA,FALSE
"ED visits","2017-2021",55306,"All ages",31.3,NA,"55306","B5","G6350","S",16109372,1987017,"+44.7309442","-093.2913805","30-45",18910,"ZCTA5 55306",16116,875,11883,966,1963,713,845,322,2075,529,1127,388,81818,6940,NA,FALSE
"ED visits","2017-2021",55423,"All ages",31.5,NA,"55423","B5","G6350","S",18299718,406685,"+44.8771926","-093.2813594","30-45",19013,"ZCTA5 55423",36986,80,23596,1100,4351,769,2025,408,7188,998,2659,483,74415,2882,1,TRUE
"ED visits","2017-2021",55033,"All ages",31.6,NA,"55033","B5","G6350","S",373619220,23007871,"+44.7110071","-092.8586620","30-45",18829,"ZCTA5 55033",29474,486,27444,638,278,157,164,156,1087,429,1405,382,91376,3230,NA,FALSE
"ED visits","2017-2021",55079,"All ages",31.6,NA,"55079","B5","G6350","S",164838086,9030287,"+45.4194671","-093.0353928","30-45",18863,"ZCTA5 55079",8837,553,8013,574,44,61,141,99,286,137,461,163,94439,4421,1,TRUE
"ED visits","2017-2021",NA,"All ages",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ED visits","2017-2021",55420,"All ages",32.3,NA,"55420","B5","G6350","S",17246840,238737,"+44.8359691","-093.2771760","30-45",19010,"ZCTA5 55420",23119,1429,14020,1043,3431,912,1641,461,2820,840,3417,1070,66370,7188,NA,FALSE
"ED visits","2017-2021",55427,"All ages",32.3,NA,"55427","B5","G6350","S",18751552,190749,"+45.0045948","-093.3813510","30-45",19017,"ZCTA5 55427",25581,1238,19570,1041,3040,735,1021,403,1459,419,1765,480,85042,9150,1,TRUE
"ED visits","2017-2021",55076,"All ages",32.7,NA,"55076","B5","G6350","S",25696795,4123072,"+44.8328664","-093.0332436","30-45",18861,"ZCTA5 55076",21943,795,18423,996,744,321,719,315,2653,677,1538,531,86862,6392,NA,FALSE
"ED visits","2017-2021",55379,"All ages",32.7,NA,"55379","B5","G6350","S",149894268,6032735,"+44.7434421","-093.5100297","30-45",18976,"ZCTA5 55379",47662,427,33071,1238,3726,642,4925,699,4403,561,2708,789,95602,4732,NA,FALSE
"ED visits","2017-2021",55352,"All ages",33.8,NA,"55352","B5","G6350","S",175101615,4237698,"+44.6514753","-093.5926085","30-45",18952,"ZCTA5 55352",10210,445,9518,563,47,91,105,112,792,492,1040,568,103681,15241,NA,FALSE
"ED visits","2017-2021",55433,"All ages",34.3,NA,"55433","B5","G6350","S",30137919,1459844,"+45.1604112","-093.3148393","30-45",19023,"ZCTA5 55433",34240,1166,27243,1075,2658,546,2036,775,1269,467,2351,430,72999,5777,1,TRUE
"ED visits","2017-2021",55419,"All ages",35.3,NA,"55419","B5","G6350","S",10873596,291556,"+44.9057987","-093.2876534","30-45",19009,"ZCTA5 55419",29051,1502,23944,1417,3078,788,438,173,1211,410,1882,457,119639,8291,1,TRUE
"ED visits","2017-2021",55337,"All ages",35.7,NA,"55337","B5","G6350","S",48476178,3300729,"+44.7784720","-093.2722690","30-45",18939,"ZCTA5 55337",47810,865,32123,1461,6978,834,3203,647,4336,877,3257,488,77416,5835,NA,FALSE
"ED visits","2017-2021",55009,"All ages",35.8,NA,"55009","B5","G6350","S",317268123,6549390,"+44.4805638","-092.8710848","30-45",18810,"ZCTA5 55009",8060,254,7652,271,12,18,45,31,174,83,547,217,78697,5817,NA,FALSE
"ED visits","2017-2021",55055,"All ages",36.1,NA,"55055","B5","G6350","S",9383596,638729,"+44.8743985","-092.9986467","30-45",18846,"ZCTA5 55055",3951,19,3069,372,289,172,260,206,444,244,308,124,58455,7747,NA,FALSE
"ED visits","2017-2021",55418,"All ages",36.5,NA,"55418","B5","G6350","S",18099683,357297,"+45.0213178","-093.2428530","30-45",19008,"ZCTA5 55418",31136,1272,23543,1252,2777,627,1024,351,2636,655,3160,564,80600,6177,1,TRUE
"ED visits","2017-2021",55444,"All ages",36.7,NA,"55444","B5","G6350","S",11986917,746336,"+45.1076821","-093.3032051","30-45",19033,"ZCTA5 55444",17627,1347,6961,913,4320,1034,4381,650,1230,470,548,342,93759,7255,NA,FALSE
"ED visits","2017-2021",55118,"All ages",37.3,NA,"55118","B5","G6350","S",27109068,1708247,"+44.8943150","-093.1009469","30-45",18890,"ZCTA5 55118",28774,706,23313,1006,898,285,689,306,4560,622,2894,635,72938,6803,1,TRUE
"ED visits","2017-2021",55443,"All ages",37.5,NA,"55443","B5","G6350","S",23452327,307334,"+45.1194511","-093.3389687","30-45",19032,"ZCTA5 55443",33120,1801,14441,1140,10458,1290,6104,983,755,282,2942,1066,82290,8245,1,TRUE
"ED visits","2017-2021",55121,"All ages",37.8,NA,"55121","B5","G6350","S",24893873,2256833,"+44.8458770","-093.1588993","30-45",18893,"ZCTA5 55121",8590,530,5579,553,1715,472,763,230,333,187,808,262,69932,10998,3,TRUE
"ED visits","2017-2021",55422,"All ages",39,NA,"55422","B5","G6350","S",21966805,1210973,"+45.0092748","-093.3411048","30-45",19012,"ZCTA5 55422",28953,1036,21237,876,4289,989,1036,387,1650,511,2370,434,80400,4372,1,TRUE
"ED visits","2017-2021",55075,"All ages",40.7,NA,"55075","B5","G6350","S",14477844,1160340,"+44.8879902","-093.0417306","30-45",18860,"ZCTA5 55075",20610,115,15847,791,802,383,509,202,3121,570,2155,495,71283,4875,NA,FALSE
"ED visits","2017-2021",55406,"All ages",41.2,NA,"55406","B5","G6350","S",12963153,790050,"+44.9386895","-093.2210422","30-45",18996,"ZCTA5 55406",35997,1444,25887,1033,5077,936,1038,262,2857,733,3971,762,77888,4922,1,TRUE
"ED visits","2017-2021",55413,"All ages",41.6,NA,"55413","B5","G6350","S",8125126,281396,"+44.9978141","-093.2435457","30-45",19003,"ZCTA5 55413",14299,918,10288,644,1777,593,529,181,1379,494,1717,449,72354,6438,4,TRUE
"ED visits","2017-2021",55432,"All ages",45.6,NA,"55432","B5","G6350","S",25583471,1574043,"+45.0967016","-093.2537258","45-60",19022,"ZCTA5 55432",32529,626,21050,1017,5188,702,2281,608,3691,939,3556,822,68480,3269,NA,FALSE
"ED visits","2017-2021",55119,"All ages",46,NA,"55119","B5","G6350","S",34202126,4286932,"+44.9398082","-093.0062542","45-60",18891,"ZCTA5 55119",44430,2204,22630,1581,9406,1641,7937,760,5492,944,6213,1481,66772,4735,1,TRUE
"ED visits","2017-2021",55409,"All ages",46.2,NA,"55409","B5","G6350","S",3388318,0,"+44.9301783","-093.2814587","45-60",18999,"ZCTA5 55409",11262,874,8218,595,1015,454,241,164,1266,404,802,225,86061,6890,1,TRUE
"ED visits","2017-2021",55421,"All ages",47.6,NA,"55421","B5","G6350","S",16243658,1092072,"+45.0505741","-093.2499371","45-60",19011,"ZCTA5 55421",30249,619,18151,986,6417,945,1806,432,3656,703,3234,622,67955,5148,NA,FALSE
"ED visits","2017-2021",55109,"All ages",48.6,NA,"55109","B5","G6350","S",30260417,1961857,"+45.0166335","-093.0267159","45-60",18881,"ZCTA5 55109",34575,1209,20898,1048,3059,785,7132,1190,2544,654,3035,689,70222,5391,1,TRUE
"ED visits","2017-2021",55339,"All ages",49.6,"Unstable rate due to small case count","55339","B5","G6350","S",59247378,687976,"+44.7234284","-093.9569596","45-60",18941,"ZCTA5 55339",959,141,930,134,0,9,3,6,31,36,36,26,83125,25151,NA,FALSE
"ED visits","2017-2021",55401,"All ages",50.6,"Unstable rate due to small case count","55401","B5","G6350","S",2049358,298625,"+44.9853670","-093.2702080","45-60",18991,"ZCTA5 55401",10957,967,8494,768,587,261,1182,397,805,359,730,249,106756,10324,3,TRUE
"ED visits","2017-2021",55428,"All ages",50.8,NA,"55428","B5","G6350","S",20994372,142911,"+45.0640388","-093.3835093","45-60",19018,"ZCTA5 55428",33035,1730,18922,1029,8998,1586,2097,523,2191,684,3962,889,61980,7527,1,TRUE
"ED visits","2017-2021",55031,"All ages",53.7,NA,"55031","B5","G6350","S",105300087,110054,"+44.6125174","-092.9621634","45-60",18827,"ZCTA5 55031",1748,178,1663,174,21,21,9,9,43,30,91,35,99028,10074,NA,FALSE
"ED visits","2017-2021",55405,"All ages",56.3,NA,"55405","B5","G6350","S",7338687,510254,"+44.9726735","-093.3018780","45-60",18995,"ZCTA5 55405",16523,1593,10703,991,3545,1044,787,313,722,299,2633,644,64504,8241,1,TRUE
"ED visits","2017-2021",55117,"All ages",57.7,NA,"55117","B5","G6350","S",23715560,1613621,"+45.0035616","-093.0912803","45-60",18889,"ZCTA5 55117",46743,2070,22609,1495,8346,1189,11632,1566,3625,875,8985,1411,62558,4940,1,TRUE
"ED visits","2017-2021",55429,"All ages",57.7,NA,"55429","B5","G6350","S",15581780,779312,"+45.0636588","-093.3411754","45-60",19019,"ZCTA5 55429",29071,1513,11130,826,10066,1275,4659,675,2953,902,2999,581,59120,4645,NA,FALSE
"ED visits","2017-2021",55104,"All ages",60.2,NA,"55104","B5","G6350","S",15629830,310869,"+44.9538936","-093.1644464","60+",18876,"ZCTA5 55104",44643,1750,28956,1186,7603,1055,3610,797,2363,517,6920,990,65905,4331,1,TRUE
"ED visits","2017-2021",55106,"All ages",61.8,NA,"55106","B5","G6350","S",24400540,2642503,"+44.9572358","-093.0471292","60+",18878,"ZCTA5 55106",59197,2272,20055,1158,9353,1341,22408,1883,6219,865,12213,1756,56634,2619,1,TRUE
"ED visits","2017-2021",55430,"All ages",65.2,NA,"55430","B5","G6350","S",15213584,535137,"+45.0631523","-093.2992464","60+",19020,"ZCTA5 55430",23191,1340,9000,871,7061,1040,3358,754,3408,847,2977,783,66038,6123,NA,FALSE
"ED visits","2017-2021",55407,"All ages",66.7,NA,"55407","B5","G6350","S",10397074,261156,"+44.9350355","-093.2530287","60+",18997,"ZCTA5 55407",38921,2247,22002,1239,7262,1405,745,262,8644,1418,6353,1648,70125,3555,1,TRUE
"ED visits","2017-2021",55414,"All ages",69.5,NA,"55414","B5","G6350","S",8089837,375523,"+44.9783814","-093.2224486","60+",19004,"ZCTA5 55414",31788,1399,22812,1209,1758,351,4229,548,1817,377,12544,1013,43001,4315,3,TRUE
"ED visits","2017-2021",55408,"All ages",74.2,NA,"55408","B5","G6350","S",6959022,1731388,"+44.9438153","-093.2938666","60+",18998,"ZCTA5 55408",31613,1403,20546,1156,5086,919,1009,272,4840,773,4700,796,64911,3997,1,TRUE
"ED visits","2017-2021",55089,"All ages",75.7,NA,"55089","B5","G6350","S",173830329,23870574,"+44.5932503","-092.7090644","60+",18870,"ZCTA5 55089",1607,219,1290,161,11,15,29,21,34,32,165,74,89813,12898,NA,FALSE
"ED visits","2017-2021",55102,"All ages",77.2,NA,"55102","B5","G6350","S",8502880,680860,"+44.9319008","-093.1212908","60+",18874,"ZCTA5 55102",18956,1067,15661,861,1646,565,427,138,1373,374,2031,346,64270,4041,2,TRUE
"ED visits","2017-2021",55130,"All ages",77.5,NA,"55130","B5","G6350","S",5229228,2758,"+44.9733023","-093.0824096","60+",18902,"ZCTA5 55130",19606,1541,5123,868,4236,766,8277,1319,2306,628,6041,1360,45840,4890,1,TRUE
"ED visits","2017-2021",55107,"All ages",83.2,NA,"55107","B5","G6350","S",10641789,1398188,"+44.9310700","-093.0791720","60+",18879,"ZCTA5 55107",14376,1012,7745,823,2187,547,977,336,3945,678,2674,746,59819,7080,2,TRUE
"ED visits","2017-2021",55403,"All ages",92.9,NA,"55403","B5","G6350","S",3519265,40504,"+44.9699231","-093.2842531","60+",18993,"ZCTA5 55403",16349,920,12344,859,2054,459,631,190,1138,371,2261,422,55520,6443,1,TRUE
"ED visits","2017-2021",55103,"All ages",95,NA,"55103","B5","G6350","S",5111535,287953,"+44.9642576","-093.1226267","60+",18875,"ZCTA5 55103",14187,1044,5004,576,4044,715,3345,359,1668,718,3655,575,41101,1582,1,TRUE
"ED visits","2017-2021",55412,"All ages",110.8,NA,"55412","B5","G6350","S",8822789,249357,"+45.0273244","-093.3036116","60+",19002,"ZCTA5 55412",25497,1588,9854,872,8701,1214,2916,946,2980,879,3984,872,54594,2530,1,TRUE
"ED visits","2017-2021",55404,"All ages",125,NA,"55404","B5","G6350","S",4676664,0,"+44.9619133","-093.2613491","60+",18994,"ZCTA5 55404",28413,2058,11404,892,10163,1745,1006,271,4473,942,8247,1275,37029,3047,3,TRUE
"ED visits","2017-2021",55454,"All ages",128.8,NA,"55454","B5","G6350","S",1541577,165838,"+44.9733464","-093.2437082","60+",19040,"ZCTA5 55454",8739,1063,2072,400,5354,1056,746,232,165,92,3678,1244,23634,8794,2,TRUE
"ED visits","2017-2021",55114,"All ages",137.6,"Unstable rate due to small case count","55114","B5","G6350","S",3435451,77979,"+44.9666903","-093.1950724","60+",18886,"ZCTA5 55114",3124,359,2223,304,357,191,377,153,172,100,676,186,63651,9725,1,TRUE
"ED visits","2017-2021",55415,"All ages",142.5,NA,"55415","B5","G6350","S",1134739,0,"+44.9746435","-093.2578155","60+",19005,"ZCTA5 55415",5722,664,3762,528,1063,247,345,175,166,96,654,207,118079,24751,3,TRUE
"ED visits","2017-2021",55411,"All ages",157.5,NA,"55411","B5","G6350","S",10432057,158601,"+44.9997520","-093.2979798","60+",19001,"ZCTA5 55411",31397,1526,6813,798,15488,1398,3814,655,3539,655,9585,1063,44096,5146,2,TRUE
"ED visits","2017-2021",55402,"All ages",201.5,"Unstable rate due to small case count","55402","B5","G6350","S",436711,0,"+44.9760689","-093.2711606","60+",18992,"ZCTA5 55402",590,151,357,124,105,66,72,40,53,52,170,90,61360,9143,2,TRUE
"ED visits","2017-2021",55101,"All ages",241.4,"Unstable rate due to small case count","55101","B5","G6350","S",2014852,91192,"+44.9507644","-093.0875715","60+",18873,"ZCTA5 55101",7606,647,5323,495,615,215,960,503,228,109,1130,346,66292,8241,1,TRUE
"ED visits","2017-2021",55090,"All ages",NA,"*Data suppressed due to small population","55090","B5","G6350","S",294567,13525,"+45.0537310","-092.9579871",NA,18871,"ZCTA5 55090",384,143,375,141,9,16,0,9,29,45,23,28,60962,19575,NA,FALSE
"ED visits","2017-2021",55111,"All ages",NA,"*Data suppressed due to small population","55111","B5","G6350","S",5936037,804222,"+44.8900943","-093.1901635",NA,18883,"ZCTA5 55111",95,85,87,85,8,9,0,9,0,9,9,9,NA,NA,1,TRUE
"ED visits","2017-2021",55150,"All ages",NA,"*Data suppressed due to small population","55150","B5","G6350","S",778860,69327,"+44.8874112","-093.1610074",NA,18903,"ZCTA5 55150",137,40,129,37,2,4,1,2,2,3,12,9,83750,35528,1,TRUE
"ED visits","2017-2021",55450,"All ages",NA,"*Data suppressed due to small population","55450","B5","G6350","S",12062321,139461,"+44.8720843","-093.2289933",NA,19039,"ZCTA5 55450",6,10,6,10,0,9,0,9,0,9,0,9,NA,NA,1,TRUE
