"_Outcome","_Years","_ZIP","Age group","Age-adjusted rate per 10,000","Note","ZCTA5CE20","CLASSFP20","MTFCC20","FUNCSTAT20","ALAND20","AWATER20","INTPTLAT20","INTPTLON20","value_cat","X","NAME","total_popE","total_popM","whiteE","whiteM","blackE","blackM","asianE","asianM","hispanicE","hispanicM","povertyE","povertyM","median_incomeE","median_incomeM","num_plants","near_plant"
"ED visits","2017-2021",55374,"All ages",11,NA,"55374","B5","G6350","S",88649620,2440097,"+45.1755470","-093.5755317","0-15",18972,"ZCTA5 55374",16249,669,15163,732,183,238,170,159,482,265,309,175,131779,20543,1,TRUE
"ED visits","2017-2021",55446,"All ages",11,NA,"55446","B5","G6350","S",26096041,374820,"+45.0391396","-093.4897008","0-15",19035,"ZCTA5 55446",27079,1522,18361,1149,1185,576,5604,1164,975,405,395,171,151194,11706,NA,FALSE
"ED visits","2017-2021",55120,"All ages",11.1,NA,"55120","B5","G6350","S",14004092,2298645,"+44.8759789","-093.1506487","0-15",18892,"ZCTA5 55120",5230,534,3962,388,48,37,235,259,157,92,170,78,97097,13607,NA,FALSE
"ED visits","2017-2021",55322,"All ages",11.1,"Unstable rate due to small case count","55322","B5","G6350","S",148081164,4857895,"+44.7718856","-093.7871236","0-15",18926,"ZCTA5 55322",3708,325,3392,339,139,120,50,28,123,72,185,109,101607,8621,NA,FALSE
"ED visits","2017-2021",55088,"All ages",11.3,"Unstable rate due to small case count","55088","B5","G6350","S",95169762,231056,"+44.5235865","-093.3834549","0-15",18869,"ZCTA5 55088",1770,259,1702,249,14,22,1,4,18,16,53,31,115833,15487,NA,FALSE
"ED visits","2017-2021",55304,"All ages",11.8,NA,"55304","B5","G6350","S",177716477,6230600,"+45.2455850","-093.2599519","0-15",18908,"ZCTA5 55304",48902,71,44151,762,1059,418,1864,442,1196,427,1330,429,115111,5042,NA,FALSE
"ED visits","2017-2021",55439,"All ages",12,NA,"55439","B5","G6350","S",12201847,320584,"+44.8735508","-093.3730484","0-15",19029,"ZCTA5 55439",9407,672,8042,533,133,130,656,275,222,162,256,121,153843,18125,NA,FALSE
"ED visits","2017-2021",55082,"All ages",12.6,NA,"55082","B5","G6350","S",205156986,14631743,"+45.0744199","-092.8415765","0-15",18865,"ZCTA5 55082",36233,470,32906,700,825,381,411,164,1511,404,1641,490,105207,4457,NA,FALSE
"ED visits","2017-2021",55436,"All ages",12.6,NA,"55436","B5","G6350","S",12147672,423857,"+44.9071730","-093.3750860","0-15",19026,"ZCTA5 55436",14288,828,12995,814,165,107,560,191,343,197,282,114,122500,18822,NA,FALSE
"ED visits","2017-2021",55364,"All ages",12.8,NA,"55364","B5","G6350","S",39301259,13133974,"+44.9393250","-093.6758355","0-15",18963,"ZCTA5 55364",14442,686,13397,769,147,132,193,152,420,361,835,295,103714,16855,1,TRUE
"ED visits","2017-2021",55410,"All ages",13.5,NA,"55410","B5","G6350","S",7950482,1377213,"+44.9133446","-093.3169422","0-15",19000,"ZCTA5 55410",20525,941,18587,952,318,191,616,200,486,201,565,155,135260,8017,1,TRUE
"ED visits","2017-2021",55011,"All ages",13.6,NA,"55011","B5","G6350","S",118812983,4755171,"+45.3444234","-093.2520180","0-15",18811,"ZCTA5 55011",10844,764,10015,740,13,14,455,326,68,43,243,136,115617,3320,NA,FALSE
"ED visits","2017-2021",55447,"All ages",13.6,NA,"55447","B5","G6350","S",23130855,1495255,"+45.0010956","-093.4895611","0-15",19036,"ZCTA5 55447",21775,1005,18176,905,769,209,1605,595,956,348,864,319,113640,12697,NA,FALSE
"ED visits","2017-2021",55043,"All ages",13.6,"Unstable rate due to small case count","55043","B5","G6350","S",9747568,5483230,"+44.9405746","-092.7688514","0-15",18836,"ZCTA5 55043",3562,263,3338,243,0,9,65,55,60,37,146,52,89435,3545,NA,FALSE
"ED visits","2017-2021",55105,"All ages",13.8,NA,"55105","B5","G6350","S",9061102,255593,"+44.9347067","-093.1657510","0-15",18877,"ZCTA5 55105",27396,1227,24217,1044,697,285,1139,340,1087,303,2012,456,100818,7228,1,TRUE
"ED visits","2017-2021",55123,"All ages",13.8,NA,"55123","B5","G6350","S",27879829,2408471,"+44.8023895","-093.1391264","0-15",18895,"ZCTA5 55123",27555,1083,22866,1154,831,356,2780,754,1241,441,766,250,123393,7837,3,TRUE
"ED visits","2017-2021",55311,"All ages",13.8,NA,"55311","B5","G6350","S",42549464,2235258,"+45.1064033","-093.4970293","0-15",18915,"ZCTA5 55311",37908,1421,31274,1698,2432,922,2660,548,496,234,1822,814,135471,6630,1,TRUE
"ED visits","2017-2021",55020,"All ages",13.9,NA,"55020","B5","G6350","S",61664641,573703,"+44.5782649","-093.3743445","0-15",18819,"ZCTA5 55020",4349,446,4162,449,0,9,61,73,86,93,152,102,135375,30605,NA,FALSE
"ED visits","2017-2021",55070,"All ages",14,NA,"55070","B5","G6350","S",66001662,747103,"+45.4062244","-093.3033235","0-15",18855,"ZCTA5 55070",8186,186,7572,292,129,128,41,35,260,256,602,252,89242,5556,1,TRUE
"ED visits","2017-2021",55115,"All ages",14,NA,"55115","B5","G6350","S",15772709,1373870,"+45.0668015","-092.9494580","0-15",18887,"ZCTA5 55115",8889,227,8172,282,236,240,173,120,133,81,307,130,123092,9133,1,TRUE
"ED visits","2017-2021",55345,"All ages",14,NA,"55345","B5","G6350","S",29441277,709736,"+44.9154425","-093.4844300","0-15",18947,"ZCTA5 55345",21528,894,18700,937,678,409,917,374,664,268,889,215,120204,9804,1,TRUE
"ED visits","2017-2021",55360,"All ages",14,NA,"55360","B5","G6350","S",79310659,1027137,"+44.9159598","-093.9196449","0-15",18960,"ZCTA5 55360",3242,145,3045,168,24,18,31,22,99,70,134,59,104365,2815,NA,FALSE
"ED visits","2017-2021",55442,"All ages",14,NA,"55442","B5","G6350","S",13718612,1268824,"+45.0489203","-093.4262115","0-15",19031,"ZCTA5 55442",13349,998,11192,769,395,238,632,333,411,235,430,226,114630,6962,NA,FALSE
"ED visits","2017-2021",55044,"All ages",14.4,NA,"55044","B5","G6350","S",169039797,5103920,"+44.6421460","-093.2764462","0-15",18837,"ZCTA5 55044",59141,1760,49879,1990,2606,904,3094,532,2989,768,2278,728,124899,4002,NA,FALSE
"ED visits","2017-2021",55416,"All ages",14.4,NA,"55416","B5","G6350","S",18999971,927275,"+44.9493731","-093.3409944","0-15",19006,"ZCTA5 55416",34181,1313,28960,1247,1502,531,1222,288,1742,658,1743,495,93875,4131,1,TRUE
"ED visits","2017-2021",55449,"All ages",14.4,NA,"55449","B5","G6350","S",55537126,2183561,"+45.1759781","-093.1841493","0-15",19038,"ZCTA5 55449",30859,1404,24792,1425,1497,573,2328,476,1869,642,990,356,109228,4045,NA,FALSE
"ED visits","2017-2021",55305,"All ages",14.5,NA,"55305","B5","G6350","S",24113842,438328,"+44.9563464","-093.4280924","0-15",18909,"ZCTA5 55305",21687,915,17237,935,1384,508,2235,632,540,283,1132,344,95701,9697,1,TRUE
"ED visits","2017-2021",55127,"All ages",14.6,NA,"55127","B5","G6350","S",34874151,6864741,"+45.0815716","-093.0769281","0-15",18899,"ZCTA5 55127",18406,557,15682,799,443,432,1167,392,1046,448,837,450,108664,12785,1,TRUE
"ED visits","2017-2021",55359,"All ages",14.6,NA,"55359","B5","G6350","S",110660081,8917503,"+45.0073468","-093.6926125","0-15",18959,"ZCTA5 55359",6883,692,6466,656,165,105,38,33,110,57,759,579,118571,30597,1,TRUE
"ED visits","2017-2021",55126,"All ages",14.9,NA,"55126","B5","G6350","S",35509968,6508229,"+45.0829893","-093.1404920","0-15",18898,"ZCTA5 55126",27367,275,22348,796,1179,524,2462,569,954,432,1182,369,101414,6686,1,TRUE
"ED visits","2017-2021",55330,"All ages",15.1,NA,"55330","B5","G6350","S",276145213,10750595,"+45.3322125","-093.5665277","15-30",18932,"ZCTA5 55330",43549,1295,39102,1463,1369,613,604,294,1080,367,1256,413,98676,6621,NA,FALSE
"ED visits","2017-2021",55356,"All ages",15.1,NA,"55356","B5","G6350","S",33801620,3890295,"+44.9958995","-093.5854631","15-30",18956,"ZCTA5 55356",5969,636,5514,638,84,49,121,123,59,36,328,206,158137,15228,1,TRUE
"ED visits","2017-2021",55005,"All ages",15.4,NA,"55005","B5","G6350","S",49073187,2425307,"+45.3961066","-093.2184645","15-30",18806,"ZCTA5 55005",4496,520,4006,482,138,174,21,18,354,251,106,82,99286,12498,1,TRUE
"ED visits","2017-2021",55318,"All ages",15.4,NA,"55318","B5","G6350","S",103402591,4450474,"+44.8107868","-093.6362516","15-30",18922,"ZCTA5 55318",28981,226,25198,616,441,240,901,329,2243,359,1246,343,96502,6109,NA,FALSE
"ED visits","2017-2021",55373,"All ages",15.6,NA,"55373","B5","G6350","S",27665452,2154598,"+45.0882078","-093.7215900","15-30",18971,"ZCTA5 55373",5460,364,5139,386,87,98,79,80,92,120,392,170,84141,15664,NA,FALSE
"ED visits","2017-2021",55397,"All ages",15.8,"Unstable rate due to small case count","55397","B5","G6350","S",73260167,4116072,"+44.8238009","-093.9379639","15-30",18989,"ZCTA5 55397",3221,324,2656,397,206,263,0,9,246,223,156,83,80530,15191,NA,FALSE
"ED visits","2017-2021",55129,"All ages",15.9,NA,"55129","B5","G6350","S",50571982,898798,"+44.8834738","-092.8927678","15-30",18901,"ZCTA5 55129",28685,1202,21154,1173,1427,573,4764,1089,950,337,817,463,136428,9443,1,TRUE
"ED visits","2017-2021",55344,"All ages",15.9,NA,"55344","B5","G6350","S",22946400,1854277,"+44.8638384","-093.4300085","15-30",18946,"ZCTA5 55344",15083,857,8873,812,2154,591,2595,473,1465,613,2112,506,80939,4081,1,TRUE
"ED visits","2017-2021",55363,"All ages",16.3,NA,"55363","B5","G6350","S",72535246,2126812,"+45.0378196","-093.9181405","15-30",18962,"ZCTA5 55363",5465,448,4672,330,96,138,20,25,502,426,673,331,77609,6692,NA,FALSE
"ED visits","2017-2021",55024,"All ages",16.6,NA,"55024","B5","G6350","S",220355521,2923919,"+44.6287257","-093.1355943","15-30",18821,"ZCTA5 55024",36504,1583,32613,1541,807,413,1004,409,1812,680,989,358,107338,3724,NA,FALSE
"ED visits","2017-2021",55125,"All ages",16.6,NA,"55125","B5","G6350","S",39751829,1232421,"+44.9180314","-092.9382772","15-30",18897,"ZCTA5 55125",45329,1196,36711,1144,2155,540,4067,629,2181,473,2303,873,106573,5892,1,TRUE
"ED visits","2017-2021",55375,"All ages",16.6,NA,"55375","B5","G6350","S",13322680,1815604,"+44.8945923","-093.7260379","15-30",18973,"ZCTA5 55375",4355,436,4045,396,81,62,62,50,72,61,83,60,109489,20418,1,TRUE
"ED visits","2017-2021",55367,"All ages",16.8,"Unstable rate due to small case count","55367","B5","G6350","S",49982917,372359,"+44.8952421","-093.9760284","15-30",18965,"ZCTA5 55367",997,102,976,100,1,3,5,5,30,44,22,14,73750,13204,NA,FALSE
"ED visits","2017-2021",55003,"All ages",18.1,NA,"55003","B5","G6350","S",5380519,2881927,"+45.0074757","-092.7790642","15-30",18805,"ZCTA5 55003",3801,28,2829,213,616,165,43,31,174,79,136,65,92292,17829,NA,FALSE
"ED visits","2017-2021",55068,"All ages",18.1,NA,"55068","B5","G6350","S",119050507,5176148,"+44.7354780","-093.0627738","15-30",18853,"ZCTA5 55068",31352,1058,26877,1075,1122,458,1282,362,1052,362,733,331,113598,5182,NA,FALSE
"ED visits","2017-2021",55040,"All ages",18.6,NA,"55040","B5","G6350","S",254005954,7792758,"+45.4685313","-093.2779253","15-30",18833,"ZCTA5 55040",14113,436,13574,470,49,28,44,40,494,268,1581,564,80849,7764,NA,FALSE
"ED visits","2017-2021",55057,"All ages",19,NA,"55057","B5","G6350","S",323055786,7968582,"+44.4726525","-093.1791251","15-30",18848,"ZCTA5 55057",24999,362,21511,580,528,200,922,181,2142,375,1337,293,81097,7026,NA,FALSE
"ED visits","2017-2021",55438,"All ages",19.1,NA,"55438","B5","G6350","S",21482780,1970365,"+44.8231235","-093.3861252","15-30",19028,"ZCTA5 55438",16763,1021,13215,953,1085,502,677,305,818,374,746,319,87737,7290,NA,FALSE
"ED visits","2017-2021",55014,"All ages",19.3,NA,"55014","B5","G6350","S",52486453,7900761,"+45.1683486","-093.1237524","15-30",18814,"ZCTA5 55014",28711,859,25079,1001,932,390,1047,368,710,258,1333,440,92235,3559,NA,FALSE
"ED visits","2017-2021",55077,"All ages",19.5,NA,"55077","B5","G6350","S",47013690,2087681,"+44.8179196","-093.0770350","15-30",18862,"ZCTA5 55077",13697,805,10335,839,908,440,634,240,1737,585,476,228,92808,8706,NA,FALSE
"ED visits","2017-2021",55372,"All ages",19.6,NA,"55372","B5","G6350","S",151521793,11256254,"+44.6823866","-093.4135879","15-30",18970,"ZCTA5 55372",33818,543,30784,781,275,253,1176,313,853,379,674,191,122563,7126,NA,FALSE
"ED visits","2017-2021",55016,"All ages",20.1,NA,"55016","B5","G6350","S",77969076,9975908,"+44.8167351","-092.9337298","15-30",18815,"ZCTA5 55016",38162,303,31472,884,1924,561,2604,573,1642,425,1199,459,108159,5348,NA,FALSE
"ED visits","2017-2021",56071,"All ages",20.1,NA,"56071","B5","G6350","S",222551073,6611143,"+44.5349785","-093.5794409","15-30",19257,"ZCTA5 56071",13104,338,12550,416,5,7,153,113,334,216,537,198,99545,5724,NA,FALSE
"ED visits","2017-2021",55110,"All ages",20.3,NA,"55110","B5","G6350","S",64048766,19164319,"+45.0899368","-093.0040457","15-30",18882,"ZCTA5 55110",38838,511,34771,812,770,268,1023,407,2101,558,1809,491,89965,4628,1,TRUE
"ED visits","2017-2021",55316,"All ages",20.3,NA,"55316","B5","G6350","S",21111155,1441706,"+45.1729324","-093.3868294","15-30",18920,"ZCTA5 55316",23877,27,19817,1056,2212,996,756,265,366,202,1622,621,104200,10100,1,TRUE
"ED visits","2017-2021",55378,"All ages",20.3,NA,"55378","B5","G6350","S",37096173,1977581,"+44.7590570","-093.3642133","15-30",18975,"ZCTA5 55378",31701,161,24335,821,2737,592,2656,470,1530,390,1824,517,115456,7011,NA,FALSE
"ED visits","2017-2021",56011,"All ages",20.3,NA,"56011","B5","G6350","S",264851579,4318394,"+44.6024606","-093.7726193","15-30",19211,"ZCTA5 56011",9488,228,8866,364,254,198,30,37,234,208,216,95,91661,9070,NA,FALSE
"ED visits","2017-2021",55013,"All ages",20.6,NA,"55013","B5","G6350","S",71553292,16239323,"+45.3517564","-092.8874998","15-30",18813,"ZCTA5 55013",6828,417,6317,449,2,4,135,86,80,83,332,155,91500,11335,NA,FALSE
