county,fips,year,ozonePersonDayMon,ozoneDayStdMon,ozoneDayStdMod,ozoneAvgMod,ozoneModelFlag,pm25AvgMon,pm25PersonDayMon,pm25PctMon,pm25AvgMod,pm25ModelFlag,hasMonitor,hasOzoneMonitor,hasPm25Monitor,
"Beltrami","27007","2002","No data available","No data available","0","No data available","1","No data available","No data available","No data available","7.9","1","n","n","n"
"Beltrami","27007","2003","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.1","1","n","n","n"
"Beltrami","27007","2004","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8","1","n","n","n"
"Beltrami","27007","2005","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.2","1","n","n","n"
"Beltrami","27007","2006","No data available","No data available","1","No data available","1","No data available","No data available","No data available","8","1","n","n","n"
"Beltrami","27007","2007","No data available","No data available","0","No data available","1","No data available","No data available","No data available","7.8","1","n","n","n"
"Beltrami","27007","2008","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.1","1","n","n","n"
"Beltrami","27007","2009","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.2","1","n","n","n"
"Beltrami","27007","2010","No data available","No data available","0","No data available","1","No data available","No data available","No data available","7.9","1","n","n","n"
"Beltrami","27007","2011","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.1","1","n","n","n"
"Beltrami","27007","2012","No data available","No data available","0","35.12","1","No data available","No data available","No data available","8.03","1","n","n","n"
"Beltrami","27007","2013","No data available","No data available","null","37.04","0","No data available","No data available","No data available","7.33","0","n","n","n"
"Beltrami","27007","2014","No data available","No data available","null","33.05","0","No data available","No data available","No data available","6.08","0","n","n","n"
"Beltrami","27007","2015","No data available","No data available","null","34","null","5.1","93375","0.0056","8.03","0","y","n","y"
"Beltrami","27007","2016","No data available","No data available","null","31","null","4.9","0","0","5.7","0","n","n","n"
"Beltrami","27007","2017","No data available","No data available","null","34","null","5.7","0","0","6.7","null","y","n","y"
"Benton","27009","2001","No data available","No data available","0","No data available","1","No data available","No data available","No data available","11","1","n","n","n"
"Benton","27009","2002","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.7","1","n","n","n"
"Benton","27009","2003","No data available","No data available","2","No data available","1","No data available","No data available","No data available","10.4","1","n","n","n"
"Benton","27009","2004","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.8","1","n","n","n"
"Benton","27009","2005","No data available","No data available","2","No data available","1","No data available","No data available","No data available","10.8","1","n","n","n"
"Benton","27009","2006","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.6","1","n","n","n"
"Benton","27009","2007","No data available","No data available","2","No data available","1","No data available","No data available","No data available","10.2","1","n","n","n"
"Benton","27009","2008","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.9","1","n","n","n"
"Benton","27009","2009","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.6","1","n","n","n"
"Benton","27009","2010","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.2","1","n","n","n"
"Benton","27009","2011","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.5","1","n","n","n"
"Benton","27009","2012","No data available","No data available","0","35.20","1","No data available","No data available","No data available","9.43","1","n","n","n"
"Benton","27009","2013","No data available","No data available","null","40.64","0","No data available","No data available","No data available","9.00","0","n","n","n"
"Benton","27009","2014","No data available","No data available","null","33.97","0","No data available","No data available","No data available","6.45","0","n","n","n"
"Benton","27009","2015","No data available","No data available","null","35","null","No data available","No data available","No data available","9.43","0","n","n","n"
"Benton","27009","2016","No data available","No data available","null","33","null","No data available","No data available","No data available","6.1","null","n","n","n"
"Benton","27009","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.5","null","n","n","n"
"Big Stone","27011","2001","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.8","1","n","n","n"
"Big Stone","27011","2002","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.4","1","n","n","n"
"Big Stone","27011","2003","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9","1","n","n","n"
