statecounty,county,Year,Pollutant,Unit,Average concentration
27027,"Clay County, Minnesota",2018,PM2.5,micrograms per cubic meter,7.5
27027,"Clay County, Minnesota",2019,Ozone,parts per billion,35
27027,"Clay County, Minnesota",2019,PM2.5,micrograms per cubic meter,6.7
27027,"Clay County, Minnesota",2020,Ozone,parts per billion,35
27027,"Clay County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.3
27027,"Clay County, Minnesota",2021,Ozone,parts per billion,36
27027,"Clay County, Minnesota",2021,PM2.5,micrograms per cubic meter,10.6
27029,"Clearwater County, Minnesota",2008,Ozone,parts per billion,36
27029,"Clearwater County, Minnesota",2008,PM2.5,micrograms per cubic meter,7.7
27029,"Clearwater County, Minnesota",2009,Ozone,parts per billion,34
27029,"Clearwater County, Minnesota",2009,PM2.5,micrograms per cubic meter,7.9
27029,"Clearwater County, Minnesota",2010,Ozone,parts per billion,37
27029,"Clearwater County, Minnesota",2010,PM2.5,micrograms per cubic meter,7.4
27029,"Clearwater County, Minnesota",2011,Ozone,parts per billion,36
27029,"Clearwater County, Minnesota",2011,PM2.5,micrograms per cubic meter,7.4
27029,"Clearwater County, Minnesota",2012,Ozone,parts per billion,36
27029,"Clearwater County, Minnesota",2012,PM2.5,micrograms per cubic meter,7.9
27029,"Clearwater County, Minnesota",2013,Ozone,parts per billion,36
27029,"Clearwater County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.2
27029,"Clearwater County, Minnesota",2014,Ozone,parts per billion,34
27029,"Clearwater County, Minnesota",2014,PM2.5,micrograms per cubic meter,5.9
27029,"Clearwater County, Minnesota",2015,Ozone,parts per billion,34
27029,"Clearwater County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.4
27029,"Clearwater County, Minnesota",2016,Ozone,parts per billion,32
27029,"Clearwater County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.4
27029,"Clearwater County, Minnesota",2017,Ozone,parts per billion,34
27029,"Clearwater County, Minnesota",2017,PM2.5,micrograms per cubic meter,6
27029,"Clearwater County, Minnesota",2018,Ozone,parts per billion,36
27029,"Clearwater County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.5
27029,"Clearwater County, Minnesota",2019,Ozone,parts per billion,35
27029,"Clearwater County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.5
27029,"Clearwater County, Minnesota",2020,Ozone,parts per billion,34
27029,"Clearwater County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.4
27029,"Clearwater County, Minnesota",2021,Ozone,parts per billion,36
27029,"Clearwater County, Minnesota",2021,PM2.5,micrograms per cubic meter,10.1
27031,"Cook County, Minnesota",2008,Ozone,parts per billion,36
27031,"Cook County, Minnesota",2008,PM2.5,micrograms per cubic meter,6.4
27031,"Cook County, Minnesota",2009,Ozone,parts per billion,34
27031,"Cook County, Minnesota",2009,PM2.5,micrograms per cubic meter,6.9
27031,"Cook County, Minnesota",2010,Ozone,parts per billion,37
27031,"Cook County, Minnesota",2010,PM2.5,micrograms per cubic meter,6.3
27031,"Cook County, Minnesota",2011,Ozone,parts per billion,36
27031,"Cook County, Minnesota",2011,PM2.5,micrograms per cubic meter,6.5
27031,"Cook County, Minnesota",2012,Ozone,parts per billion,35
27031,"Cook County, Minnesota",2012,PM2.5,micrograms per cubic meter,6.3
27031,"Cook County, Minnesota",2013,Ozone,parts per billion,35
27031,"Cook County, Minnesota",2013,PM2.5,micrograms per cubic meter,5.6
27031,"Cook County, Minnesota",2014,Ozone,parts per billion,33
27031,"Cook County, Minnesota",2014,PM2.5,micrograms per cubic meter,5.6
27031,"Cook County, Minnesota",2015,Ozone,parts per billion,34
27031,"Cook County, Minnesota",2015,PM2.5,micrograms per cubic meter,5.9
27031,"Cook County, Minnesota",2016,Ozone,parts per billion,33
27031,"Cook County, Minnesota",2016,PM2.5,micrograms per cubic meter,3.9
27031,"Cook County, Minnesota",2017,Ozone,parts per billion,34
27031,"Cook County, Minnesota",2017,PM2.5,micrograms per cubic meter,4.6
27031,"Cook County, Minnesota",2018,Ozone,parts per billion,36
27031,"Cook County, Minnesota",2018,PM2.5,micrograms per cubic meter,4.7
27031,"Cook County, Minnesota",2019,Ozone,parts per billion,35
27031,"Cook County, Minnesota",2019,PM2.5,micrograms per cubic meter,4.4
27031,"Cook County, Minnesota",2020,Ozone,parts per billion,34
27031,"Cook County, Minnesota",2020,PM2.5,micrograms per cubic meter,4.1
27031,"Cook County, Minnesota",2021,Ozone,parts per billion,36
27031,"Cook County, Minnesota",2021,PM2.5,micrograms per cubic meter,4.3
27033,"Cottonwood County, Minnesota",2008,Ozone,parts per billion,37
27033,"Cottonwood County, Minnesota",2008,PM2.5,micrograms per cubic meter,9.5
27033,"Cottonwood County, Minnesota",2009,Ozone,parts per billion,36
27033,"Cottonwood County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.3
27033,"Cottonwood County, Minnesota",2010,Ozone,parts per billion,39
27033,"Cottonwood County, Minnesota",2010,PM2.5,micrograms per cubic meter,9
27033,"Cottonwood County, Minnesota",2011,Ozone,parts per billion,39
27033,"Cottonwood County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.7
27033,"Cottonwood County, Minnesota",2012,Ozone,parts per billion,39
27033,"Cottonwood County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.2
27033,"Cottonwood County, Minnesota",2013,Ozone,parts per billion,39
27033,"Cottonwood County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.5
27033,"Cottonwood County, Minnesota",2014,Ozone,parts per billion,36
27033,"Cottonwood County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.3
27033,"Cottonwood County, Minnesota",2015,Ozone,parts per billion,35
27033,"Cottonwood County, Minnesota",2015,PM2.5,micrograms per cubic meter,9.2
27033,"Cottonwood County, Minnesota",2016,Ozone,parts per billion,35
27033,"Cottonwood County, Minnesota",2016,PM2.5,micrograms per cubic meter,8.4
27033,"Cottonwood County, Minnesota",2017,Ozone,parts per billion,36
27033,"Cottonwood County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.5
27033,"Cottonwood County, Minnesota",2018,Ozone,parts per billion,37
27033,"Cottonwood County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.9
27033,"Cottonwood County, Minnesota",2019,Ozone,parts per billion,38
27033,"Cottonwood County, Minnesota",2019,PM2.5,micrograms per cubic meter,6.2
27033,"Cottonwood County, Minnesota",2020,Ozone,parts per billion,36
27033,"Cottonwood County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.1
27033,"Cottonwood County, Minnesota",2021,Ozone,parts per billion,39
27033,"Cottonwood County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.5
27035,"Crow Wing County, Minnesota",2008,Ozone,parts per billion,36
27035,"Crow Wing County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.6
27035,"Crow Wing County, Minnesota",2009,Ozone,parts per billion,34
27035,"Crow Wing County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.5
27035,"Crow Wing County, Minnesota",2010,Ozone,parts per billion,36
27035,"Crow Wing County, Minnesota",2010,PM2.5,micrograms per cubic meter,8
27035,"Crow Wing County, Minnesota",2011,Ozone,parts per billion,36
27035,"Crow Wing County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.7
27035,"Crow Wing County, Minnesota",2012,Ozone,parts per billion,35
27035,"Crow Wing County, Minnesota",2012,PM2.5,micrograms per cubic meter,9
27035,"Crow Wing County, Minnesota",2013,Ozone,parts per billion,36
27035,"Crow Wing County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.6
27035,"Crow Wing County, Minnesota",2014,Ozone,parts per billion,33
27035,"Crow Wing County, Minnesota",2014,PM2.5,micrograms per cubic meter,6
27035,"Crow Wing County, Minnesota",2015,Ozone,parts per billion,35
27035,"Crow Wing County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.5
27035,"Crow Wing County, Minnesota",2016,Ozone,parts per billion,32
27035,"Crow Wing County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.7
27035,"Crow Wing County, Minnesota",2017,Ozone,parts per billion,34
27035,"Crow Wing County, Minnesota",2017,PM2.5,micrograms per cubic meter,5.9
27035,"Crow Wing County, Minnesota",2018,Ozone,parts per billion,34
27035,"Crow Wing County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.2
27035,"Crow Wing County, Minnesota",2019,Ozone,parts per billion,35
27035,"Crow Wing County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.2
27035,"Crow Wing County, Minnesota",2020,Ozone,parts per billion,34
27035,"Crow Wing County, Minnesota",2020,PM2.5,micrograms per cubic meter,4.9
27035,"Crow Wing County, Minnesota",2021,Ozone,parts per billion,37
27035,"Crow Wing County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.2
27037,"Dakota County, Minnesota",2008,Ozone,parts per billion,38
27037,"Dakota County, Minnesota",2008,PM2.5,micrograms per cubic meter,11.6
27037,"Dakota County, Minnesota",2009,Ozone,parts per billion,36
27037,"Dakota County, Minnesota",2009,PM2.5,micrograms per cubic meter,11
27037,"Dakota County, Minnesota",2010,Ozone,parts per billion,37
27037,"Dakota County, Minnesota",2010,PM2.5,micrograms per cubic meter,10.9
27037,"Dakota County, Minnesota",2011,Ozone,parts per billion,37
27037,"Dakota County, Minnesota",2011,PM2.5,micrograms per cubic meter,11
27037,"Dakota County, Minnesota",2012,Ozone,parts per billion,37
27037,"Dakota County, Minnesota",2012,PM2.5,micrograms per cubic meter,11
27037,"Dakota County, Minnesota",2013,Ozone,parts per billion,37
27037,"Dakota County, Minnesota",2013,PM2.5,micrograms per cubic meter,10.2
27037,"Dakota County, Minnesota",2014,Ozone,parts per billion,35
27037,"Dakota County, Minnesota",2014,PM2.5,micrograms per cubic meter,8.3
27037,"Dakota County, Minnesota",2015,Ozone,parts per billion,35
27037,"Dakota County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.1
27037,"Dakota County, Minnesota",2016,Ozone,parts per billion,34
27037,"Dakota County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.4
27037,"Dakota County, Minnesota",2017,Ozone,parts per billion,35
27037,"Dakota County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.8
27037,"Dakota County, Minnesota",2018,Ozone,parts per billion,36
27037,"Dakota County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.4
27037,"Dakota County, Minnesota",2019,Ozone,parts per billion,35
27037,"Dakota County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.9
27037,"Dakota County, Minnesota",2020,Ozone,parts per billion,34
27037,"Dakota County, Minnesota",2020,PM2.5,micrograms per cubic meter,7.7
27037,"Dakota County, Minnesota",2021,Ozone,parts per billion,37
27037,"Dakota County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.1
27039,"Dodge County, Minnesota",2008,Ozone,parts per billion,38
27039,"Dodge County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.4
27039,"Dodge County, Minnesota",2009,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2009,PM2.5,micrograms per cubic meter,10
27039,"Dodge County, Minnesota",2010,Ozone,parts per billion,38
27039,"Dodge County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.7
27039,"Dodge County, Minnesota",2011,Ozone,parts per billion,38
27039,"Dodge County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.6
27039,"Dodge County, Minnesota",2012,Ozone,parts per billion,39
27039,"Dodge County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.7
27039,"Dodge County, Minnesota",2013,Ozone,parts per billion,38
27039,"Dodge County, Minnesota",2013,PM2.5,micrograms per cubic meter,9.2
27039,"Dodge County, Minnesota",2014,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.6
27039,"Dodge County, Minnesota",2015,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.8
27039,"Dodge County, Minnesota",2016,Ozone,parts per billion,35
27039,"Dodge County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.9
27039,"Dodge County, Minnesota",2017,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.3
27039,"Dodge County, Minnesota",2018,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.3
27039,"Dodge County, Minnesota",2019,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.5
27039,"Dodge County, Minnesota",2020,Ozone,parts per billion,36
27039,"Dodge County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.7
27039,"Dodge County, Minnesota",2021,Ozone,parts per billion,38
27039,"Dodge County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.1
27041,"Douglas County, Minnesota",2008,Ozone,parts per billion,36
27041,"Douglas County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.9
27041,"Douglas County, Minnesota",2009,Ozone,parts per billion,35
27041,"Douglas County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.8
27041,"Douglas County, Minnesota",2010,Ozone,parts per billion,37
27041,"Douglas County, Minnesota",2010,PM2.5,micrograms per cubic meter,8.4
27041,"Douglas County, Minnesota",2011,Ozone,parts per billion,37
27041,"Douglas County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.2
27041,"Douglas County, Minnesota",2012,Ozone,parts per billion,37
27041,"Douglas County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.7
27041,"Douglas County, Minnesota",2013,Ozone,parts per billion,37
27041,"Douglas County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.1
27041,"Douglas County, Minnesota",2014,Ozone,parts per billion,35
27041,"Douglas County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.2
27041,"Douglas County, Minnesota",2015,Ozone,parts per billion,35
27041,"Douglas County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.9
27041,"Douglas County, Minnesota",2016,Ozone,parts per billion,33
27041,"Douglas County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.5
27041,"Douglas County, Minnesota",2017,Ozone,parts per billion,35
27041,"Douglas County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.1
27041,"Douglas County, Minnesota",2018,Ozone,parts per billion,36
27041,"Douglas County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.5
27041,"Douglas County, Minnesota",2019,Ozone,parts per billion,36
27041,"Douglas County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.6
27041,"Douglas County, Minnesota",2020,Ozone,parts per billion,35
27041,"Douglas County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.6
27041,"Douglas County, Minnesota",2021,Ozone,parts per billion,37
27041,"Douglas County, Minnesota",2021,PM2.5,micrograms per cubic meter,9.3
27043,"Faribault County, Minnesota",2008,Ozone,parts per billion,37
27043,"Faribault County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.1
27043,"Faribault County, Minnesota",2009,Ozone,parts per billion,36
27043,"Faribault County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.7
27043,"Faribault County, Minnesota",2010,Ozone,parts per billion,38
27043,"Faribault County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.4
27043,"Faribault County, Minnesota",2011,Ozone,parts per billion,38
27043,"Faribault County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.1
27043,"Faribault County, Minnesota",2012,Ozone,parts per billion,39
27043,"Faribault County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.5
27043,"Faribault County, Minnesota",2013,Ozone,parts per billion,38
27043,"Faribault County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.9
27043,"Faribault County, Minnesota",2014,Ozone,parts per billion,36
27043,"Faribault County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.8
27043,"Faribault County, Minnesota",2015,Ozone,parts per billion,36
27043,"Faribault County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.2
27043,"Faribault County, Minnesota",2016,Ozone,parts per billion,35
27043,"Faribault County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.3
27043,"Faribault County, Minnesota",2017,Ozone,parts per billion,36
27043,"Faribault County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.1
27043,"Faribault County, Minnesota",2018,Ozone,parts per billion,37
27043,"Faribault County, Minnesota",2018,PM2.5,micrograms per cubic meter,7.8
27043,"Faribault County, Minnesota",2019,Ozone,parts per billion,37
27043,"Faribault County, Minnesota",2019,PM2.5,micrograms per cubic meter,6.8
27043,"Faribault County, Minnesota",2020,Ozone,parts per billion,36
27043,"Faribault County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.5
27043,"Faribault County, Minnesota",2021,Ozone,parts per billion,38
27043,"Faribault County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.4
27045,"Fillmore County, Minnesota",2008,Ozone,parts per billion,38
27045,"Fillmore County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.6
27045,"Fillmore County, Minnesota",2009,Ozone,parts per billion,36
27045,"Fillmore County, Minnesota",2009,PM2.5,micrograms per cubic meter,10
27045,"Fillmore County, Minnesota",2010,Ozone,parts per billion,38
27045,"Fillmore County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.7
27045,"Fillmore County, Minnesota",2011,Ozone,parts per billion,38
27045,"Fillmore County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.4
27045,"Fillmore County, Minnesota",2012,Ozone,parts per billion,39
27045,"Fillmore County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.4
27045,"Fillmore County, Minnesota",2013,Ozone,parts per billion,38
27045,"Fillmore County, Minnesota",2013,PM2.5,micrograms per cubic meter,9
27045,"Fillmore County, Minnesota",2014,Ozone,parts per billion,36
27045,"Fillmore County, Minnesota",2014,PM2.5,micrograms per cubic meter,8.2
27045,"Fillmore County, Minnesota",2015,Ozone,parts per billion,37
27045,"Fillmore County, Minnesota",2015,PM2.5,micrograms per cubic meter,8
27045,"Fillmore County, Minnesota",2016,Ozone,parts per billion,35
27045,"Fillmore County, Minnesota",2016,PM2.5,micrograms per cubic meter,7
27045,"Fillmore County, Minnesota",2017,Ozone,parts per billion,36
27045,"Fillmore County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.2
27045,"Fillmore County, Minnesota",2018,Ozone,parts per billion,36
27045,"Fillmore County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.3
27045,"Fillmore County, Minnesota",2019,Ozone,parts per billion,36
27045,"Fillmore County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.7
27045,"Fillmore County, Minnesota",2020,Ozone,parts per billion,36
27045,"Fillmore County, Minnesota",2020,PM2.5,micrograms per cubic meter,7.2
27045,"Fillmore County, Minnesota",2021,Ozone,parts per billion,38
27045,"Fillmore County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.5
27047,"Freeborn County, Minnesota",2008,Ozone,parts per billion,37
27047,"Freeborn County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.2
27047,"Freeborn County, Minnesota",2009,Ozone,parts per billion,36
27047,"Freeborn County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.9
27047,"Freeborn County, Minnesota",2010,Ozone,parts per billion,38
27047,"Freeborn County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.7
27047,"Freeborn County, Minnesota",2011,Ozone,parts per billion,38
27047,"Freeborn County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.4
27047,"Freeborn County, Minnesota",2012,Ozone,parts per billion,39
27047,"Freeborn County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.6
27047,"Freeborn County, Minnesota",2013,Ozone,parts per billion,38
27047,"Freeborn County, Minnesota",2013,PM2.5,micrograms per cubic meter,9.1
27047,"Freeborn County, Minnesota",2014,Ozone,parts per billion,36
27047,"Freeborn County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.9
27047,"Freeborn County, Minnesota",2015,Ozone,parts per billion,36
27047,"Freeborn County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.1
27047,"Freeborn County, Minnesota",2016,Ozone,parts per billion,35
27047,"Freeborn County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.1
27047,"Freeborn County, Minnesota",2017,Ozone,parts per billion,36
27047,"Freeborn County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.3
27047,"Freeborn County, Minnesota",2018,Ozone,parts per billion,37
27047,"Freeborn County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.1
27047,"Freeborn County, Minnesota",2019,Ozone,parts per billion,37
27047,"Freeborn County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.1
27047,"Freeborn County, Minnesota",2020,Ozone,parts per billion,36
27047,"Freeborn County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.5
27047,"Freeborn County, Minnesota",2021,Ozone,parts per billion,38
27047,"Freeborn County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.2
27049,"Goodhue County, Minnesota",2008,Ozone,parts per billion,38
27049,"Goodhue County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.5
27049,"Goodhue County, Minnesota",2009,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2009,PM2.5,micrograms per cubic meter,10
27049,"Goodhue County, Minnesota",2010,Ozone,parts per billion,37
27049,"Goodhue County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.7
27049,"Goodhue County, Minnesota",2011,Ozone,parts per billion,38
27049,"Goodhue County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.4
27049,"Goodhue County, Minnesota",2012,Ozone,parts per billion,38
27049,"Goodhue County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.9
27049,"Goodhue County, Minnesota",2013,Ozone,parts per billion,37
27049,"Goodhue County, Minnesota",2013,PM2.5,micrograms per cubic meter,9.3
27049,"Goodhue County, Minnesota",2014,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.9
27049,"Goodhue County, Minnesota",2015,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.6
27049,"Goodhue County, Minnesota",2016,Ozone,parts per billion,34
27049,"Goodhue County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.7
27049,"Goodhue County, Minnesota",2017,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.3
27049,"Goodhue County, Minnesota",2018,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.2
27049,"Goodhue County, Minnesota",2019,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.6
27049,"Goodhue County, Minnesota",2020,Ozone,parts per billion,36
27049,"Goodhue County, Minnesota",2020,PM2.5,micrograms per cubic meter,7.1
27049,"Goodhue County, Minnesota",2021,Ozone,parts per billion,38
27049,"Goodhue County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.4
27051,"Grant County, Minnesota",2008,Ozone,parts per billion,36
27051,"Grant County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.7
27051,"Grant County, Minnesota",2009,Ozone,parts per billion,35
27051,"Grant County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.8
27051,"Grant County, Minnesota",2010,Ozone,parts per billion,37
27051,"Grant County, Minnesota",2010,PM2.5,micrograms per cubic meter,8.5
27051,"Grant County, Minnesota",2011,Ozone,parts per billion,37
27051,"Grant County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.1
27051,"Grant County, Minnesota",2012,Ozone,parts per billion,36
27051,"Grant County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.7
27051,"Grant County, Minnesota",2013,Ozone,parts per billion,37
27051,"Grant County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.8
27051,"Grant County, Minnesota",2014,Ozone,parts per billion,35
27051,"Grant County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.1
27051,"Grant County, Minnesota",2015,Ozone,parts per billion,35
27051,"Grant County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.3
27051,"Grant County, Minnesota",2016,Ozone,parts per billion,33
27051,"Grant County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.7
27051,"Grant County, Minnesota",2017,Ozone,parts per billion,35
27051,"Grant County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.3
27051,"Grant County, Minnesota",2018,Ozone,parts per billion,36
27051,"Grant County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.6
27051,"Grant County, Minnesota",2019,Ozone,parts per billion,37
27051,"Grant County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.6
27051,"Grant County, Minnesota",2020,Ozone,parts per billion,35
27051,"Grant County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.6
27051,"Grant County, Minnesota",2021,Ozone,parts per billion,37
27051,"Grant County, Minnesota",2021,PM2.5,micrograms per cubic meter,9.4
27053,"Hennepin County, Minnesota",2008,Ozone,parts per billion,36
27053,"Hennepin County, Minnesota",2008,PM2.5,micrograms per cubic meter,11.7
27053,"Hennepin County, Minnesota",2009,Ozone,parts per billion,35
27053,"Hennepin County, Minnesota",2009,PM2.5,micrograms per cubic meter,11.1
27053,"Hennepin County, Minnesota",2010,Ozone,parts per billion,37
27053,"Hennepin County, Minnesota",2010,PM2.5,micrograms per cubic meter,11
27053,"Hennepin County, Minnesota",2011,Ozone,parts per billion,37
27053,"Hennepin County, Minnesota",2011,PM2.5,micrograms per cubic meter,11.3
27053,"Hennepin County, Minnesota",2012,Ozone,parts per billion,36
27053,"Hennepin County, Minnesota",2012,PM2.5,micrograms per cubic meter,11.2
27053,"Hennepin County, Minnesota",2013,Ozone,parts per billion,36
27053,"Hennepin County, Minnesota",2013,PM2.5,micrograms per cubic meter,10.4
27053,"Hennepin County, Minnesota",2014,Ozone,parts per billion,34
27053,"Hennepin County, Minnesota",2014,PM2.5,micrograms per cubic meter,8.2
27053,"Hennepin County, Minnesota",2015,Ozone,parts per billion,35
27053,"Hennepin County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.1
27053,"Hennepin County, Minnesota",2016,Ozone,parts per billion,33
27053,"Hennepin County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.5
27053,"Hennepin County, Minnesota",2017,Ozone,parts per billion,35
27053,"Hennepin County, Minnesota",2017,PM2.5,micrograms per cubic meter,8
27053,"Hennepin County, Minnesota",2018,Ozone,parts per billion,36
27053,"Hennepin County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.3
27053,"Hennepin County, Minnesota",2019,Ozone,parts per billion,35
27053,"Hennepin County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.9
27053,"Hennepin County, Minnesota",2020,Ozone,parts per billion,34
27053,"Hennepin County, Minnesota",2020,PM2.5,micrograms per cubic meter,7.7
27053,"Hennepin County, Minnesota",2021,Ozone,parts per billion,38
27053,"Hennepin County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.6
27055,"Houston County, Minnesota",2008,Ozone,parts per billion,37
27055,"Houston County, Minnesota",2008,PM2.5,micrograms per cubic meter,11
27055,"Houston County, Minnesota",2009,Ozone,parts per billion,36
27055,"Houston County, Minnesota",2009,PM2.5,micrograms per cubic meter,10.1
27055,"Houston County, Minnesota",2010,Ozone,parts per billion,38
27055,"Houston County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.5
27055,"Houston County, Minnesota",2011,Ozone,parts per billion,38
27055,"Houston County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.5
27055,"Houston County, Minnesota",2012,Ozone,parts per billion,38
27055,"Houston County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.3
27055,"Houston County, Minnesota",2013,Ozone,parts per billion,37
27055,"Houston County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.9
27055,"Houston County, Minnesota",2014,Ozone,parts per billion,36
