Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
56772,"TX LFG Energy, LP",55555,Conroe,TX,Montgomery,UNT3,Landfill Gas,IC,,S,X,X,,,1.0, ,1.0,1.0, ,N, , ,RE,X,8,2003,4,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,,,
56772,"TX LFG Energy, LP",55556,Security,TX,Montgomery,UNT1,Landfill Gas,IC,,S,X,X,,,1.3, ,1.7,1.7, ,N, , ,RE,X,12,2003,7,2004,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,N,,
56772,"TX LFG Energy, LP",55556,Security,TX,Montgomery,UNT3,Landfill Gas,IC,,S,X,X,,,1.7,0.800,1.7,1.7,0.2,N, , ,RE,X,12,2003,10,2019,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
5701,El Paso Electric Co,55578,Hueco Mountain Wind Ranch,TX,Hudspeth,EXIS,Onshore Wind Turbine,WT,,S,X,X,,,1.3, ,1.3,1.3,0.0,N, , ,RE,X,2,2001,6,2016,N,Electric Utility,1,X,WND,,,,,,,,,,N,,2,,,,,,,,,,,
25049,Gas Recovery Systems Inc,55584,East Bridgewater,MA,Plymouth,1,Landfill Gas,IC,,W,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,1997,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55584,East Bridgewater,MA,Plymouth,2,Landfill Gas,IC,,W,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,1997,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55584,East Bridgewater,MA,Plymouth,3,Landfill Gas,IC,,W,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,1997,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55584,East Bridgewater,MA,Plymouth,4,Landfill Gas,IC,,W,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,1997,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55584,East Bridgewater,MA,Plymouth,5,Landfill Gas,IC,,W,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,1997,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55584,East Bridgewater,MA,Plymouth,6,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,1997,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
