_Outcome,_Years,_ZIP,Age group,"Age-adjusted rate per 10,000",Note
ED visits,2017-2021,55422, All ages,39,
ED visits,2017-2021,55075, All ages,40.7,
ED visits,2017-2021,55406, All ages,41.2,
ED visits,2017-2021,55413, All ages,41.6,
ED visits,2017-2021,55432, All ages,45.6,
ED visits,2017-2021,55119, All ages,46,
ED visits,2017-2021,55409, All ages,46.2,
ED visits,2017-2021,55421, All ages,47.6,
ED visits,2017-2021,55109, All ages,48.6,
ED visits,2017-2021,55339, All ages,49.6,Unstable rate due to small case count
ED visits,2017-2021,55401, All ages,50.6,Unstable rate due to small case count
ED visits,2017-2021,55428, All ages,50.8,
ED visits,2017-2021,55031, All ages,53.7,
ED visits,2017-2021,55405, All ages,56.3,
ED visits,2017-2021,55117, All ages,57.7,
ED visits,2017-2021,55429, All ages,57.7,
ED visits,2017-2021,55104, All ages,60.2,
ED visits,2017-2021,55106, All ages,61.8,
ED visits,2017-2021,55430, All ages,65.2,
ED visits,2017-2021,55407, All ages,66.7,
ED visits,2017-2021,55414, All ages,69.5,
ED visits,2017-2021,55408, All ages,74.2,
ED visits,2017-2021,55089, All ages,75.7,
ED visits,2017-2021,55102, All ages,77.2,
ED visits,2017-2021,55130, All ages,77.5,
ED visits,2017-2021,55107, All ages,83.2,
ED visits,2017-2021,55403, All ages,92.9,
ED visits,2017-2021,55103, All ages,95,
ED visits,2017-2021,55412, All ages,110.8,
ED visits,2017-2021,55404, All ages,125,
ED visits,2017-2021,55454, All ages,128.8,
ED visits,2017-2021,55114, All ages,137.6,Unstable rate due to small case count
ED visits,2017-2021,55415, All ages,142.5,
ED visits,2017-2021,55411, All ages,157.5,
ED visits,2017-2021,55402, All ages,201.5,Unstable rate due to small case count
ED visits,2017-2021,55101, All ages,241.4,Unstable rate due to small case count
ED visits,2017-2021,55090, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55111, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55150, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55450, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55088,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55090,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55384,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55402,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55386,0-17,7.0,Unstable rate due to small case count
ED visits,2017-2021,55317,0-17,9,
ED visits,2017-2021,55375,0-17,10.1,Unstable rate due to small case count
ED visits,2017-2021,55391,0-17,10.4,Unstable rate due to small case count
ED visits,2017-2021,55359,0-17,10.6,Unstable rate due to small case count
ED visits,2017-2021,55424,0-17,11.4,Unstable rate due to small case count
ED visits,2017-2021,55442,0-17,11.6,Unstable rate due to small case count
ED visits,2017-2021,55328,0-17,12.6,Unstable rate due to small case count
ED visits,2017-2021,55331,0-17,13.1,
ED visits,2017-2021,55387,0-17,13.3,
ED visits,2017-2021,55315,0-17,13.5,Unstable rate due to small case count
ED visits,2017-2021,55446,0-17,14.1,
ED visits,2017-2021,55322,0-17,15.1,Unstable rate due to small case count
ED visits,2017-2021,55347,0-17,15.8,
ED visits,2017-2021,55009,0-17,16.3,Unstable rate due to small case count
ED visits,2017-2021,55356,0-17,16.6,Unstable rate due to small case count
ED visits,2017-2021,55436,0-17,16.8,Unstable rate due to small case count
ED visits,2017-2021,55304,0-17,17,
ED visits,2017-2021,55038,0-17,17.6,
ED visits,2017-2021,55346,0-17,17.8,
ED visits,2017-2021,55374,0-17,17.8,
ED visits,2017-2021,55020,0-17,18,Unstable rate due to small case count
ED visits,2017-2021,55082,0-17,18.1,
ED visits,2017-2021,55127,0-17,18.1,
ED visits,2017-2021,55129,0-17,18.1,
ED visits,2017-2021,55005,0-17,18.1,Unstable rate due to small case count
ED visits,2017-2021,55447,0-17,18.6,
ED visits,2017-2021,55042,0-17,19.1,
ED visits,2017-2021,55115,0-17,19.6,
ED visits,2017-2021,55344,0-17,19.8,
ED visits,2017-2021,55345,0-17,19.8,
ED visits,2017-2021,55040,0-17,20,
ED visits,2017-2021,55364,0-17,20.1,
ED visits,2017-2021,56011,0-17,20.3,
ED visits,2017-2021,55360,0-17,20.8,Unstable rate due to small case count
ED visits,2017-2021,55330,0-17,21.1,
ED visits,2017-2021,55011,0-17,22,
ED visits,2017-2021,55044,0-17,22.1,
ED visits,2017-2021,55057,0-17,22.1,
ED visits,2017-2021,55043,0-17,22.3,Unstable rate due to small case count
ED visits,2017-2021,55340,0-17,22.5,
ED visits,2017-2021,55123,0-17,22.6,
ED visits,2017-2021,55318,0-17,22.6,
ED visits,2017-2021,55439,0-17,22.6,
ED visits,2017-2021,55070,0-17,22.8,
ED visits,2017-2021,55105,0-17,22.8,
ED visits,2017-2021,56071,0-17,23,
ED visits,2017-2021,55079,0-17,23.1,
ED visits,2017-2021,55120,0-17,23.3,Unstable rate due to small case count
ED visits,2017-2021,55416,0-17,23.5,
ED visits,2017-2021,55126,0-17,23.8,
ED visits,2017-2021,55305,0-17,24.1,
ED visits,2017-2021,55311,0-17,25,
ED visits,2017-2021,55024,0-17,25.1,
ED visits,2017-2021,55025,0-17,25.5,
ED visits,2017-2021,55438,0-17,25.6,
ED visits,2017-2021,55449,0-17,25.6,
ED visits,2017-2021,55352,0-17,26.3,
ED visits,2017-2021,55363,0-17,26.3,
ED visits,2017-2021,55303,0-17,26.8,
ED visits,2017-2021,55013,0-17,27.8,
ED visits,2017-2021,55372,0-17,27.8,
ED visits,2017-2021,55003,0-17,28.1,Unstable rate due to small case count
ED visits,2017-2021,55110,0-17,28.3,
ED visits,2017-2021,55369,0-17,28.5,
ED visits,2017-2021,55316,0-17,28.6,
ED visits,2017-2021,55077,0-17,28.8,
ED visits,2017-2021,55410,0-17,29.3,
ED visits,2017-2021,55125,0-17,29.8,
ED visits,2017-2021,55341,0-17,30.1,Unstable rate due to small case count
ED visits,2017-2021,55373,0-17,30.6,Unstable rate due to small case count
ED visits,2017-2021,55068,0-17,32.2,
ED visits,2017-2021,55016,0-17,32.7,
ED visits,2017-2021,55378,0-17,32.8,
ED visits,2017-2021,55124,0-17,34.2,
ED visits,2017-2021,55437,0-17,34.7,
ED visits,2017-2021,55122,0-17,35.5,
ED visits,2017-2021,55014,0-17,35.7,
ED visits,2017-2021,55395,0-17,36,Unstable rate due to small case count
ED visits,2017-2021,55434,0-17,36.7,
ED visits,2017-2021,Minnesota Statewide,0-17,36.7,
ED visits,2017-2021,55401,0-17,38,Unstable rate due to small case count
ED visits,2017-2021,55419,0-17,38.6,
ED visits,2017-2021,55112,0-17,39.3,
ED visits,2017-2021,55448,0-17,39.7,
ED visits,2017-2021,55431,0-17,40.1,
ED visits,2017-2021,55379,0-17,40.5,
ED visits,2017-2021,55441,0-17,42.7,
ED visits,2017-2021,55092,0-17,42.8,
ED visits,2017-2021,55033,0-17,44.1,
ED visits,2017-2021,55116,0-17,44.8,
ED visits,2017-2021,55444,0-17,46.6,
ED visits,2017-2021,55343,0-17,46.7,
ED visits,2017-2021,55445,0-17,48.2,
ED visits,2017-2021,55435,0-17,48.7,
ED visits,2017-2021,55433,0-17,49,
ED visits,2017-2021,55417,0-17,49.7,
ED visits,2017-2021,55425,0-17,49.7,
ED visits,2017-2021,55426,0-17,50.3,
ED visits,2017-2021,55071,0-17,50.5,
ED visits,2017-2021,55128,0-17,51.8,
ED visits,2017-2021,Metro (All ZIP Codes),0-17,52,
ED visits,2017-2021,55420,0-17,53.1,
ED visits,2017-2021,55113,0-17,53.8,
ED visits,2017-2021,55422,0-17,54,
ED visits,2017-2021,55427,0-17,56.1,
ED visits,2017-2021,55337,0-17,56.7,
ED visits,2017-2021,55443,0-17,57.1,
ED visits,2017-2021,55306,0-17,58.7,
ED visits,2017-2021,55423,0-17,58.8,
ED visits,2017-2021,55418,0-17,61.7,
ED visits,2017-2021,55421,0-17,63,
ED visits,2017-2021,55055,0-17,63.1,
ED visits,2017-2021,55108,0-17,64.7,
ED visits,2017-2021,55118,0-17,67.7,
ED visits,2017-2021,55429,0-17,69.2,
ED visits,2017-2021,55406,0-17,70,
ED visits,2017-2021,55076,0-17,70.2,
ED visits,2017-2021,55075,0-17,76.7,
ED visits,2017-2021,55432,0-17,76.9,
ED visits,2017-2021,55109,0-17,77.9,
ED visits,2017-2021,55031,0-17,79.5,Unstable rate due to small case count
ED visits,2017-2021,55428,0-17,80.0,
ED visits,2017-2021,55119,0-17,81.4,
ED visits,2017-2021,55413,0-17,82.7,
ED visits,2017-2021,55121,0-17,83.7,
ED visits,2017-2021,55089,0-17,87,Unstable rate due to small case count
ED visits,2017-2021,55405,0-17,92,
ED visits,2017-2021,55409,0-17,93.5,
ED visits,2017-2021,55117,0-17,103.2,
ED visits,2017-2021,55407,0-17,105.7,
ED visits,2017-2021,55430,0-17,106.3,
ED visits,2017-2021,55106,0-17,107.2,
ED visits,2017-2021,55104,0-17,119.8,
ED visits,2017-2021,55107,0-17,121.9,
ED visits,2017-2021,55130,0-17,123.7,
ED visits,2017-2021,55454,0-17,136.1,
ED visits,2017-2021,55408,0-17,136.9,
ED visits,2017-2021,55414,0-17,151.4,
ED visits,2017-2021,55102,0-17,156.5,
ED visits,2017-2021,55412,0-17,164.1,
ED visits,2017-2021,55403,0-17,166.5,
ED visits,2017-2021,55103,0-17,167.5,
ED visits,2017-2021,55404,0-17,174.5,
ED visits,2017-2021,55411,0-17,204.5,
ED visits,2017-2021,55415,0-17,220.0,
ED visits,2017-2021,55114,0-17,435.1,Unstable rate due to small case count
ED visits,2017-2021,55101,0-17,661.7,Unstable rate due to small case count
ED visits,2017-2021,55001,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55047,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55054,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55065,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55073,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55085,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55111,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55150,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55327,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55338,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55339,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55357,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55367,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55368,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55388,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55397,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55450,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55455,0-17,*,*Data suppressed due to small population
ED visits,2017-2021,55450,18+,0,Unstable rate due to small case count
ED visits,2017-2021,55386,18+,3.6,Unstable rate due to small case count
ED visits,2017-2021,55001,18+,4.2,Unstable rate due to small case count
ED visits,2017-2021,55424,18+,5,Unstable rate due to small case count
ED visits,2017-2021,55340,18+,5.9,Unstable rate due to small case count
ED visits,2017-2021,55120,18+,6.9,Unstable rate due to small case count
ED visits,2017-2021,55391,18+,7,
ED visits,2017-2021,55042,18+,7.0,
ED visits,2017-2021,55038,18+,7.2,
ED visits,2017-2021,55439,18+,7.2,
ED visits,2017-2021,55047,18+,7.2,Unstable rate due to small case count
ED visits,2017-2021,55317,18+,7.5,
ED visits,2017-2021,55331,18+,7.5,
ED visits,2017-2021,55346,18+,7.5,
ED visits,2017-2021,55327,18+,7.5,Unstable rate due to small case count
ED visits,2017-2021,55315,18+,7.7,Unstable rate due to small case count
ED visits,2017-2021,55347,18+,8,
ED visits,2017-2021,55410,18+,8.0,
ED visits,2017-2021,55374,18+,8.4,
ED visits,2017-2021,55387,18+,8.5,
ED visits,2017-2021,55322,18+,9,Unstable rate due to small case count
ED visits,2017-2021,55328,18+,9.5,
ED visits,2017-2021,55449,18+,9.6,
ED visits,2017-2021,55311,18+,9.8,
ED visits,2017-2021,55011,18+,9.9,
ED visits,2017-2021,55304,18+,9.9,
ED visits,2017-2021,55105,18+,10,
ED visits,2017-2021,55364,18+,10,
ED visits,2017-2021,55446,18+,10,
ED visits,2017-2021,55073,18+,10,Unstable rate due to small case count
ED visits,2017-2021,55108,18+,10.4,
ED visits,2017-2021,55360,18+,10.4,Unstable rate due to small case count
ED visits,2017-2021,55357,18+,10.5,Unstable rate due to small case count
ED visits,2017-2021,55043,18+,10.6,Unstable rate due to small case count
ED visits,2017-2021,55305,18+,10.8,
ED visits,2017-2021,55373,18+,10.8,
ED visits,2017-2021,55384,18+,10.8,Unstable rate due to small case count
ED visits,2017-2021,55082,18+,11,
ED visits,2017-2021,55123,18+,11,
ED visits,2017-2021,55070,18+,11.1,
ED visits,2017-2021,55416,18+,11.1,
ED visits,2017-2021,55044,18+,11.5,
ED visits,2017-2021,55345,18+,11.5,
ED visits,2017-2021,55388,18+,11.5,
ED visits,2017-2021,55447,18+,11.6,
ED visits,2017-2021,55126,18+,11.8,
ED visits,2017-2021,55436,18+,11.9,
ED visits,2017-2021,55125,18+,12.1,
ED visits,2017-2021,55115,18+,12.5,
ED visits,2017-2021,55003,18+,12.6,Unstable rate due to small case count
ED visits,2017-2021,55116,18+,12.9,
ED visits,2017-2021,55068,18+,13.1,
ED visits,2017-2021,55363,18+,13.1,
ED visits,2017-2021,55127,18+,13.3,
ED visits,2017-2021,55318,18+,13.4,
ED visits,2017-2021,55330,18+,13.4,
