"","...1","...2","ORGID","ORGTYPE","ORGNUMBER","SCHNUMBER","FORMID","GISNAME","MDENAME","ALTNAME","GISADDR","MDEADDR","PUBPRIV","LOCTYPE","GRADERANGE","CLASS","MAGNET","LOCDISTID","LOCDISTNAM","COUNTYCODE","COUNTYNAME","CREATEDT","UPDATEDT","FED_SCHNUM","WEB_URL","YEAR","geometry","within_1mile_pp","schools_in_ej","nearest_pp_id","nearest_pp_dist_m","nearest_pp_dist_mi","zip_code"
"112",112,112,2.40123e+11,"24","0123","000","0123-24","Goodwill Industries Inc/Easter Seal","Goodwill Industries Inc/Easter Seals Minnesota",NA,"553 Fairview Ave N, Saint Paul, MN 55104","553 Fairview Avenue North, Saint Paul, MN 55104","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2016-09-20,2023-06-23,NA,"http://www.goodwilleasterseals.org","SY2024-25","c(485966.5093","4978320.6095)",FALSE,TRUE,57069,5024.80438702884,"3.12227645309807,""55104"""
"113",113,113,2.40131e+11,"24","0131","000","0131-24","Hennepin County Medical Center","Hennepin County Medical Center",NA,"701 Park Ave, Minneapolis, MN 55415","701 Park Avenue, Minneapolis, MN 55415","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-03-29,NA,"https://www.hennepinhealthcare.org/medical-education-training/","SY2024-25","c(479321.9809","4979882.5581)",TRUE,TRUE,1911,1306.96052642853,"0.812109639000165,""55415"""
"114",114,114,2.40135e+11,"24","0135","000","0135-24","Your Yoga","Your Yoga",NA,"2649 Lyndale Ave S, Minneapolis, MN 55408","2649 Lyndale Avenue South, Minneapolis, MN 55408","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-09-19,NA,"http://www.youryogamn.com","SY2024-25","c(477297.9477","4977867.0859)",FALSE,TRUE,10013,3320.54469652745,"2.06329594524926,""55408"""
"115",115,115,2.40152e+11,"24","0152","000","0152-24","Devanadi Yoga","Devanadi Yoga",NA,"2711 W 44th St, Minneapolis, MN 55410","2711 West 44th Street, Minneapolis, MN 55410","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-02-15,NA,"http://www.devanadiyoga.com","SY2024-25","c(475193.1667","4974460.7202)",FALSE,FALSE,10013,7199.07161604182,"4.47330683139785,""55410"""
"116",116,116,2.40154e+11,"24","0154","000","0154-24","Builders Institute","Builders Institute",NA,"7420 Unity Ave N, Brooklyn Park, MN 55443","7420 Unity Avenue North  Suite 201, Brooklyn Park, MN 55443","Private or Nonpublic","Head",NA,NA,"NO",1.0279e+10,"Osseo",27053,"Hennepin",2016-09-20,2022-03-08,NA,"http://www.buildersinstitutemn.org","SY2024-25","c(472306.2122","4992999.4147)",FALSE,TRUE,1927,9808.94819460489,"6.09501298333782,""55443"""
"117",117,117,2.40164e+11,"24","0164","000","0164-24","CorePower Yoga","CorePower Yoga",NA,"501 S Washington Ave, Minneapolis, MN 55415","501 South Washington Avenue, Minneapolis, MN 55415","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-03-14,NA,"http://www.corepoweryoga.com/minneapolis","SY2024-25","c(479405.5171","4980575.4767)",TRUE,FALSE,1911,713.501385699191,"0.443350308635336,""55415"""
"118",118,118,2.40165e+11,"24","0165","000","0165-24","Life Time Academy","Life Time Academy",NA,"600 1st Ave, Minneapolis, MN 55403","Life Time Target Center 600 1st Av, Minneapolis, MN 55403","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-04-19,NA,"http://www.ltacademy.net","SY2024-25","c(478226.6949","4980714.3576)",TRUE,FALSE,10013,534.375168159928,"0.332046160637235,""55403"""
"119",119,119,2.40167e+11,"24","0167","000","0167-24","Faces ETC Makeup Artist School of M","Faces ETC Makeup Artist School of Minnesota",NA,"4419 Nicollet Ave S, Minneapolis, MN 55419","4419 Nicollet Avenue South, Minneapolis, MN 55419","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-03-16,NA,"http://www.facesetcofmn.com","SY2024-25","c(478082.7177","4974392.6333)",FALSE,FALSE,57069,6229.85429320358,"3.87106161109746,""55419"""
"120",120,120,2.40171e+11,"24","0171","000","0171-24","Prime Digital Academy","Prime Digital Academy",NA,"301 4th Ave S, Minneapolis, MN 55415","301 4th Ave S, Minneapolis, MN 55415","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-06-13,NA,"http://primeacademy.io","SY2024-25","c(479218.7755","4980549.7108)",TRUE,FALSE,1911,880.593594092474,"0.54717685143753,""55415"""
"121",121,121,2.40172e+11,"24","0172","000","0172-24","Green Lotus Yoga and Healing Center","Green Lotus Yoga and Healing Center",NA,"750 Main St, Mendota Heights, MN 55118","750 Main Street Suite 100, Mendota Heights, MN 55118","Private or Nonpublic","Head",NA,NA,"NO",1.0197e+10,"West St. Paul-Mendota Hts.-Eagan",27037,"Dakota",2016-09-20,2022-03-22,NA,"http://www.greenlotusyogactr.com","SY2024-25","c(490376.411","4970165.8368)",FALSE,FALSE,1912,5233.06419141657,"3.25168341768462,""55118"""
"122",122,122,2.40176e+11,"24","0176","000","0176-24","Awaken Pilates","Awaken Pilates",NA,"2937 S Lyndale Ave, Minneapolis, MN 55408","2937 South Lyndale Avenue Suite 10, Minneapolis, MN 55408","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-02-24,NA,"http://www.awakenpilates.com","SY2024-25","c(477305.6186","4977337.8234)",FALSE,TRUE,10013,3841.17035159142,"2.38679853330646,""55408"""
"123",123,123,2.40189e+11,"24","0189","000","0189-24","Rasmussen University - Hennepin/Anoka Campus","Rasmussen University - Hennepin/Anoka Campus",NA,"5555 96th Ave N, Brooklyn Park, MN 55443","5555 96th Avenue N, Brooklyn Park, MN 55443","Private or Nonpublic","Head",NA,NA,"NO",1.0279e+10,"Osseo",27053,"Hennepin",2016-09-20,2023-10-24,NA,"http://www.rasmussen.edu/campus-locations/brooklyn-park-mn-campus.asp","SY2024-25","c(472260.5002","4997246.5097)",FALSE,TRUE,1927,13442.2593024502,"8.3526534495198,""55443"""
"124",124,124,2.40199e+11,"24","0199","000","0199-24","TSC Connect","TSC Connect",NA,"505 Como Ave, Saint Paul, MN 55103","505 Como Ave, Saint Paul, MN 55103","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2022-09-19,2023-04-24,NA,"http://www.tscconnectllc.com/","SY2024-25","c(490419.1095","4979369.7819)",FALSE,TRUE,55824,2053.19965883775,"1.27580229090047,""55103"""
"125",125,125,2.40203e+11,"24","0203","000","0203-24","Saint Mary's University of Minnesota","Saint Mary's University of Minnesota",NA,"2500 Park Ave S, Minneapolis, MN 55404","2500 Park Avenue South, Minneapolis, MN 55404","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-02-24,NA,"https://www.smumn.edu/","SY2024-25","c(479040.879","4978215.9603)",FALSE,TRUE,57665,2806.79640087678,"1.74406676083164,""55404"""
"126",126,126,2.40211e+11,"24","0211","000","0211-24","Minneapolis School of Anesthesia","Minneapolis School of Anesthesia",NA,"1000 County Road E W, Shoreview, MN 55126","1000 County Road E W, Shoreview, MN 55126","Private or Nonpublic","Head",NA,NA,"NO",1.0621e+10,"Mounds View",27123,"Ramsey",2016-09-20,2023-10-10,NA,"https://www.nurseanesthesia.org/","SY2024-25","c(488716.7936","4988499.1083)",FALSE,FALSE,1927,10904.6699130597,"6.7758645861407,""55126"""
"127",127,127,2.40214e+11,"24","0214","000","0214-24","Bethlehem College and Seminary","Bethlehem College and Seminary",NA,"720 13th Ave S, Minneapolis, MN 55415","720 13th Ave S, Minneapolis, MN 55415","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-09-19,NA,"https://bcsmn.edu/","SY2024-25","c(479873.9793","4979538.6455)",TRUE,TRUE,57665,1245.22431919253,"0.773748442959552,""55415"""
"128",128,128,2.40217e+11,"24","0217","000","0217-24","Washington Technical Institute","Washington Technical Institute",NA,"601 Carlson Pkwy, Minnetonka, MN 55305","601 Carlson Pkwy, Minnetonka, MN 55305","Private or Nonpublic","Head",NA,NA,"NO",1.0284e+10,"Wayzata",27053,"Hennepin",2016-09-20,2024-03-12,NA,"https://www.washingtontech.edu/","SY2024-25","c(463267.289","4980075.7899)",FALSE,FALSE,10013,14666.0907954746,"9.11310897353857,""55305"""
"129",129,129,2.40219e+11,"24","0219","000","0219-24","Bethel Seminary","Bethel Seminary",NA,"2 Pine Tree Dr, Arden Hills, MN 55112","2 Pine Tree Dr, Arden Hills, MN 55112","Private or Nonpublic","Head",NA,NA,"NO",1.0621e+10,"Mounds View",27123,"Ramsey",2016-09-20,2023-10-24,NA,"https://www.bethel.edu/seminary/","SY2024-25","c(487804.5056","4988105.64)",FALSE,FALSE,1927,9917.04145223246,"6.16217918664325,""55112"""
"130",130,130,2.4022e+11,"24","0220","000","0220-24","Mitchell Hamline School of Law","Mitchell Hamline School of Law",NA,"875 Summit Ave, Saint Paul, MN 55105","875 Summit Avenue, Saint Paul, MN 55105","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2016-09-20,2022-04-29,NA,"https://mitchellhamline.edu/","SY2024-25","c(489108.8111","4976514.8728)",FALSE,FALSE,1912,2388.29211459389,"1.48401960716436,""55105"""
"131",131,131,2.40222e+11,"24","0222","000","0222-24","Northwestern Health Sciences University","Northwestern Health Sciences University",NA,"2501 W 84th St, Bloomington, MN 55431","2501 West 84th Street, Bloomington, MN 55431-1599","Private or Nonpublic","Head",NA,NA,"NO",1.0271e+10,"Bloomington",27053,"Hennepin",2016-09-20,2022-05-11,NA,"https://www.nwhealth.edu/","SY2024-25","c(475399.3494","4966415.8035)",FALSE,FALSE,1904,6564.76848158023,"4.0791681568719,""55431"""
"132",132,132,2.40224e+11,"24","0224","000","0224-24","Watermark Learning","Watermark Learning",NA,"8120 Penn Ave S, Bloomington, MN 55431","8120 Penn Ave S, Bloomington, MN 55431","Private or Nonpublic","Head",NA,NA,"NO",1.0271e+10,"Bloomington",27053,"Hennepin",2016-09-20,2023-05-02,NA,"https://www.watermarklearning.com/","SY2024-25","c(475489.2303","4967003.327)",FALSE,FALSE,1904,6914.76475378246,"4.29664629834743,""55431"""
"133",133,133,2.40231e+11,"24","0231","000","0231-24","Midway Vo-Tech","Midway Vo-Tech",NA,"1101 Snelling Ave N, Saint Paul, MN 55108","1101 Snelling Avenue North Suite 2, Saint Paul, MN 55108","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2016-09-20,2022-09-19,NA,"https://www.midwayvotech.com/","SY2024-25","c(486761.5126","4980201.6154)",FALSE,FALSE,55824,5486.6022791492,"3.40922507310401,""55108"""
"134",134,134,2.40232e+11,"24","0232","000","0232-24","Manufacturers Alliance","Manufacturers Alliance",NA,"8421 Wayzata Blvd, Golden Valley, MN 55426","8421 Wayzata Boulevard, Golden Valley, MN 55426","Private or Nonpublic","Head",NA,NA,"NO",1.027e+10,"Hopkins",27053,"Hennepin",2016-09-20,2022-04-25,NA,"https://www.mfrall.com/","SY2024-25","c(469464.7284","4979966.9352)",FALSE,FALSE,10013,8510.78849162846,"5.28837193609086,""55426"""
"135",135,135,2.40239e+11,"24","0239","000","0239-24","ONX","ONX","Sparrow Studios","1654 Diffley Rd, Eagan, MN 55122","1654 Diffley Road Suite 101, Eagan, MN 55122","Private or Nonpublic","Head",NA,NA,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2016-09-20,2024-05-30,NA,"http://sparrowmn.com","SY2024-25","c(485065.936","4961077.916)",FALSE,FALSE,1904,4922.70933447563,"3.05883737089467,""55122"""
"136",136,136,2.40241e+11,"24","0241","000","0241-24","Life Time","Life Time",NA,"6233 Baker Rd, Eden Prairie, MN 55346","6233 Baker Rd, Eden Prairie, MN 55346","Private or Nonpublic","Head",NA,NA,"NO",1.0272e+10,"Eden Prairie",27053,"Hennepin",2016-09-20,2023-12-19,NA,"https://www.lifetime.life/","SY2024-25","c(464798.6816","4970797.5058)",FALSE,FALSE,60919,10367.5336128577,"6.44210273333023,""55346"""
"137",137,137,2.40245e+11,"24","0245","000","0245-24","Finishing Trades Institution of the","Finishing Trades Institution of the Upper Midwest",NA,"3205 Country Drive, Suite 150, Little Canada, MN 55117","3205 Country Drive, Suite 150, Little Canada, MN 55117","Private or Nonpublic","Head",NA,NA,"NO",1.0624e+10,"White Bear Lake",27123,"Ramsey",2018-10-01,2022-09-19,NA,"https://www.ftium.edu/","SY2024-25","c(492312.6317","4987304.7265)",FALSE,TRUE,55824,9590.44524510284,"5.95924120763968,""55117"""
"138",138,138,2.50008e+11,"25","0008","000","0008-25","Century College","Century College",NA,"3300 Century Ave N, White Bear Lake, MN 55110","3300 Century Avenue North, White Bear Lake, MN 55110","Public","Head",NA,NA,"NO",1.0624e+10,"White Bear Lake",27123,"Ramsey",2007-10-25,2022-09-19,NA,"https://www.century.edu/","SY2024-25","c(501057.8106","4987845.7705)",FALSE,FALSE,55824,13800.8276442319,"8.57545804132866,""55110"""
"139",139,139,2.5001e+11,"25","0010","000","0010-25","Minneapolis Community & Technical College","Minneapolis College",NA,"1501 Hennepin Ave, Minneapolis, MN 55403","1501 Hennepin Avenue, Minneapolis, MN 55403","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-26,2022-08-30,NA,"http://www.minneapolis.edu","SY2024-25","c(477580.1472","4979949.542)",TRUE,FALSE,10013,1225.13554242578,"0.761265824764055,""55403"""
"140",140,140,2.50625e+11,"25","0625","000","0625-25","Saint Paul College","Saint Paul College",NA,"235 Marshall Avenue, Saint Paul, MN 55102","235 Marshall Avenue, Saint Paul, MN 55102","Public","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2024-05-30,NA,"https://www.saintpaul.edu/","SY2024-25","c(491329.0959","4977253.8813)",TRUE,TRUE,55824,586.734367067756,"0.364580739351384,""55102"""
"141",141,141,360625010000,"36","0625","010","0625-36-010","Archdiocese of St. Paul/Mpls.","Archdiocese of St. Paul/Mpls.",NA,"328 West Kellogg Blvd, Saint Paul, MN 55102","328 West Kellogg Blvd, Saint Paul, MN 55102","Private or Nonpublic","Member",NA,90,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2018-10-01,2021-06-29,NA,NA,"SY2024-25","c(491614.4412","4977079.2921)",TRUE,TRUE,55824,658.808918078975,"0.409365900356031,""55102"""
"142",142,142,6.011e+11,"60","1100","000","1100-60","Minnesota Department of Corrections","Minnesota Department of Corrections",NA,"1450 Energy Park Dr, Saint Paul, MN 55108","1450 Energy Park Drive Ste 200, Saint Paul, MN 55108-5219","Public","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2008-04-01,2022-04-28,2700272,NA,"SY2024-25","c(487222.7536","4979787.4794)",FALSE,TRUE,55824,4891.16866141551,"3.03923885655953,""55108"""
"143",143,143,7.01e+11,"70","1000","000","1000-70","Perpich Center for the Arts","Perpich Center for Arts Education",NA,"6125 Olson Memorial Hwy, Golden Valley, MN 55422","6125 Olson Memorial Hwy, Golden Valley, MN 55422-4918","Public","Head",NA,NA,"NO",1.027e+10,"Hopkins",27053,"Hennepin",2008-12-01,2022-05-23,2791456,"https://perpich.mn.gov/","SY2024-25","c(471717.6456","4981198.7113)",FALSE,FALSE,10013,6177.88974861078,"3.83877225981507,""55422"""
"144",144,144,7.50101e+11,"75","0101","000","0101-75","Abbott Northwest Childs Center","Abbott - Northwest Child's Center",NA,"143 E 19th St, Minneapolis, MN 55403","143 E 19th St, Minneapolis, MN 55403","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-02-16,NA,NA,"SY2024-25","c(478368.0902","4978958.0441)",FALSE,TRUE,10013,2226.24044830816,"1.38332511980573,""55403"""
"145",145,145,7.50104e+11,"75","0104","000","0104-75","Alternative Homes Inc.","Alternative Homes, Inc.",NA,"1210 Albemarle St, Saint Paul, MN 55117","1210 Albemarle St, Saint Paul, MN 55117","Public","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2010-04-27,2022-02-22,NA,NA,"SY2024-25","c(491565.2415","4980470.7285)",FALSE,TRUE,55824,2736.17169528894,"1.70018249424543,""55117"""
"146",146,146,7.50106e+11,"75","0106","000","0106-75","Arc Parkview","Arc Parkview",NA,"3705 Park Center Blvd, Saint Louis Park, MN 55416","3705 Park Center Blvd, Minneapolis, MN 55416","Public","Head",NA,NA,"NO",1.0283e+10,"St. Louis Park",27053,"Hennepin",2010-04-27,2022-02-24,NA,NA,"SY2024-25","c(472780.5054","4975806.8201)",FALSE,FALSE,10013,7384.66606642191,"4.58863016293754,""55416"""
"147",147,147,7.5011e+11,"75","0110","000","0110-75","Booth Brown House","Booth Brown House",NA,"1471 Como Ave W, Saint Paul, MN 55108","1471 Como Ave West, Saint Paul, MN 55108","Public","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2010-04-08,2022-03-01,NA,NA,"SY2024-25","c(487197.5194","4980496.8885)",FALSE,FALSE,55824,5249.9301329291,"3.26216345391844,""55108"""
"148",148,148,7.50113e+11,"75","0113","000","0113-75","Bridge For Runaway Youth Inc.","Bridge For Runaway Youth, Inc.",NA,"2200 Emerson Ave S, Minneapolis, MN 55405","2200 Emerson Ave S, Minneapolis, MN 55405","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-03-01,NA,NA,"SY2024-25","c(476764.673","4978633.2637)",FALSE,FALSE,10013,2743.92830409246,"1.7050022394848,""55405"""
"149",149,149,7.50118e+11,"75","0118","000","0118-75","Courage Residence","Courage Residence (The)",NA,"3915 Golden Valley Rd, Golden Valley, MN 55422","3915 Golden Valley Rd, Golden Valley, MN 55422","Public","Head",NA,NA,"NO",1.0281e+10,"Robbinsdale",27053,"Hennepin",2010-04-27,2022-03-14,NA,NA,"SY2024-25","c(474010.7079","4982871.4733)",FALSE,FALSE,10013,4255.56529507309,"2.64429225339151,""55422"""
"150",150,150,7.50122e+11,"75","0122","000","0122-75","Dakota's Children, Inc.","Dakota's Children, Inc.",NA,"400 West Marie, West Saint Paul, MN 55118","400 West Marie, West Saint Paul, MN 55118","Public","Head",NA,50,"NO",1.0197e+10,"West St. Paul-Mendota Hts.-Eagan",27037,"Dakota",2010-04-27,2024-05-31,NA,NA,"SY2024-25","c(491973.1785","4970746.2827)",FALSE,FALSE,1912,4656.68523181652,"2.89353724621057,""55118"""
"151",151,151,7.50124e+11,"75","0124","000","0124-75","Eden Rehab/Treatment Facility Inc.","Eden Rehab/Treatment Facility, Inc",NA,"1025 Portland Ave, Minneapolis, MN 55404","1025 Portland Ave, Minneapolis, MN 55404","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-03-16,NA,NA,"SY2024-25","c(478950.3845","4979620.1961)",FALSE,TRUE,1911,1728.76344155048,"1.07420647069636,""55404"""
"152",152,152,7.50125e+11,"75","0125","000","0125-75","Fairview Receiving And Evaluation","Fairview Receiving And Evaluation",NA,"9927 Valley View Rd, Eden Prairie, MN 55344","9927 Valley View Rd, Eden Prairie, MN 55344","Public","Head",NA,NA,"NO",1.0272e+10,"Eden Prairie",27053,"Hennepin",2010-04-27,2022-03-16,NA,NA,"SY2024-25","c(468248.9256","4968729.9732)",FALSE,FALSE,60632,8598.02150294655,"5.34257615105978,""55344"""
"153",153,153,7.50131e+11,"75","0131","000","0131-75","Friendship House I","Friendship House I",NA,"2427 Park Ave, Minneapolis, MN 55404","2427 Park Ave, Minneapolis, MN 55404","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-02-24,NA,NA,"SY2024-25","c(479136.3792","4978325.8267)",FALSE,TRUE,57665,2663.80850907499,"1.65521798319497,""55404"""
"154",154,154,7.50135e+11,"75","0135","000","0135-75","Hammer Residences Inc.","Hammer Residences, Inc.",NA,"1909 E Wayzata Blvd, Wayzata, MN 55391","1909 E Wayzata Blvd (Or), Wayzata, MN 55391","Public","Head",NA,50,"NO",1.0284e+10,"Wayzata",27053,"Hennepin",2010-04-27,2022-09-19,NA,NA,"SY2024-25","c(461005.8702","4979924.2058)",FALSE,FALSE,61453,15978.5741815613,"9.92865036695868,""55391"""
"155",155,155,7.50141e+11,"75","0141","000","0141-75","Home Away Shelters","Home Away Shelters",NA,"7155 Madison West, Golden Valley, MN 55427","7155 Madison West, Golden Valley, MN 55427","Public","Head",NA,NA,"NO",1.0281e+10,"Robbinsdale",27053,"Hennepin",2022-09-19,2022-09-23,NA,NA,"SY2024-25","c(470690.2236","4983651.7603)",FALSE,FALSE,10013,7632.38493859624,"4.74255591646032,""55427"""
"156",156,156,7.50143e+11,"75","0143","000","0143-75","Homeward Bound","Homeward Bound - New Hope",NA,"4741 Zealand Ave N, New Hope, MN 55428","4741 Zealand Ave N, New Hope, MN 55428","Public","Head",NA,50,"NO",1.0281e+10,"Robbinsdale",27053,"Hennepin",2010-04-27,2022-09-19,NA,NA,"SY2024-25","c(469343.5328","4987557.9406)",FALSE,FALSE,1927,9260.46339167384,"5.75419948032972,""55428"""
"157",157,157,7.50147e+11,"75","0147","000","0147-75","Irene Whitney Center For Recovery","Irene Whitney Center For Recovery",NA,"4954 Upton Ave S, Minneapolis, MN 55410","4954 Upton Ave S, Minneapolis, MN 55410","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-04-05,NA,NA,"SY2024-25","c(475097.3427","4973311.9236)",FALSE,FALSE,10013,8306.90487333879,"5.16168421423614,""55410"""
"158",158,158,7.50149e+11,"75","0149","000","0149-75","Jane Dickman House","Jane Dickman House",NA,"1665 Woodbury Dr, Woodbury, MN 55125","1665 Woodbury Dr, Woodbury, MN 55125","Public","Head",NA,NA,"NO",1.0833e+10,"South Washington County",27163,"Washington",2022-09-19,2022-09-23,NA,NA,"SY2024-25","c(507545.9416","4974570.1408)",FALSE,TRUE,66977,4251.09677959606,"2.64151563970078,""55125"""
"159",159,159,7.50151e+11,"75","0151","000","0151-75","Lake Owasso Residence","LAKE OWASSO RESIDENCE",NA,"210 N Owasso Blvd, Shoreview, MN 55126","210 N Owasso Blvd, Shoreview, MN 55126","Public","Head",NA,50,"NO",1.0623e+10,"Roseville",27123,"Ramsey",2010-04-27,2022-04-18,NA,NA,"SY2024-25","c(491434.3288","4987576.683)",FALSE,FALSE,55824,9843.03524378412,"6.11619374637064,""55126"""
"160",160,160,7.50161e+11,"75","0161","000","0161-75","Mary's Shelter","Mary's Shelter",NA,"1200 Oakdale Ave, West Saint Paul, MN 55118","1200 B Oakdale Ave, West Saint Paul, MN 55118","Public","Head",NA,NA,"NO",1.0197e+10,"West St. Paul-Mendota Hts.-Eagan",27037,"Dakota",2022-09-19,2022-09-23,NA,NA,"SY2024-25","c(494244.8332","4972904.4393)",FALSE,TRUE,1912,3907.63368690012,"2.4280970378541,""55118"""
"161",161,161,7.50167e+11,"75","0167","000","0167-75","Muriel Humphrey Residences","Muriel Humphrey Residences",NA,"8751 Preserve Blvd, Eden Prairie, MN 55343","8751-8761-8771 Preserve Blvd, Eden Prairie, MN 55343","Public","Head",NA,NA,"NO",1.0272e+10,"Eden Prairie",27053,"Hennepin",2010-04-27,2022-09-19,NA,NA,"SY2024-25","c(466540.9898","4965798.5015)",FALSE,FALSE,60632,5398.1264267028,"3.35424859054196,""55343"""
"162",162,162,7.50171e+11,"75","0171","000","0171-75","Northwest Metro CD Center","Northwest Metro CD Center",NA,"3301 7th Ave N, Anoka, MN 55303","Anoka State Hospital Box 511, Anoka, MN 55303","Public","Head",NA,NA,"NO",1.0011e+10,"Anoka-Hennepin",27003,"Anoka",2010-04-28,2022-05-11,NA,NA,"SY2024-25","c(470202.2181","5006897.2925)",FALSE,FALSE,62061,8414.96787369415,"5.22883161649754,""55303"""
"163",163,163,7.50215e+11,"75","0215","000","0215-75","Sherburne House","Sherburne House",NA,"550 Galtier St, Saint Paul, MN 55103","550 Galtier St, Saint Paul, MN 55103","Public","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2010-04-27,2022-06-14,NA,NA,"SY2024-25","c(491303.1569","4978273.7828)",TRUE,TRUE,55824,646.841294051178,"0.401929545062683,""55103"""
"164",164,164,7.50222e+11,"75","0222","000","0222-75","St. Josephs Home for Children","St. Joseph's Home For Children",NA,"1121 E 46th St, Minneapolis, MN 55407","1121 E 46th St, Minneapolis, MN 55407","Public","Head",NA,50,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-06-13,NA,NA,"SY2024-25","c(479638.1243","4973973.8865)",FALSE,FALSE,57069,4638.62895809504,"2.88231756999456,""55407"""
"165",165,165,7.50225e+11,"75","0225","000","0225-75","Trevilla of Robbinsdale, Inc","Trevilla of Robbinsdale, Inc",NA,"3130 Grimes Ave N, Robbinsdale, MN 55422","3130 Grimes Ave N, Robbinsdale, MN 55422","Public","Head",NA,NA,"NO",1.0281e+10,"Robbinsdale",27053,"Hennepin",2010-04-27,2022-09-19,NA,NA,"SY2024-25","c(474081.7159","4984422.9003)",FALSE,TRUE,1927,4306.77058801431,"2.67610982639735,""55422"""
"166",166,166,7.50226e+11,"75","0226","000","0226-75","Twenty Twenty Adolescent Receive CT","Twenty Twenty Adolescent Receive Ct",NA,"2020 Minnehaha Ave S, Minneapolis, MN 55404","2020 Minnehaha Ave S, Minneapolis, MN 55404","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2010-04-27,2022-07-27,NA,NA,"SY2024-25","c(480723.9886","4978782.1498)",FALSE,TRUE,59197,1842.99863707863,"1.14518910676342,""55404"""
"167",167,167,7.50227e+11,"75","0227","000","0227-75","Twin Town Treatment Center","Twin Town Treatment Center",NA,"1706 University Ave, Saint Paul, MN 55104","1706 University Ave, Saint Paul, MN 55104","Public","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2010-04-27,2022-07-27,NA,NA,"SY2024-25","c(486403.8175","4977996.5451)",FALSE,TRUE,57069,4896.22314505812,"3.04237957489289,""55104"""
"168",168,168,7.50229e+11,"75","0229","000","0229-75","Way 12 Halfway House","Way 12 Halfway House",NA,"645 E Wayzata Blvd, Wayzata, MN 55391","645 E Wayzata Blvd, Wayzata, MN 55391","Public","Head",NA,NA,"NO",1.0284e+10,"Wayzata",27053,"Hennepin",2010-04-27,2022-09-19,NA,NA,"SY2024-25","c(459733.0471","4980037.7828)",FALSE,FALSE,61453,14994.4425480696,"9.31713780063232,""55391"""
"169",169,169,7.50232e+11,"75","0232","000","0232-75","Wilder Juvenile Horizons Inc.","Wilder Juvenile Horizons, Inc",NA,"325 Dayton Ave, Saint Paul, MN 55102","325 Dayton Ave, Saint Paul, MN 55102","Public","Head",NA,50,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2010-04-27,2023-09-20,NA,NA,"SY2024-25","c(491035.3817","4977145.6165)",TRUE,TRUE,55824,861.904114405704,"0.535563718298,""55102"""
