"","...1","...2","ORGID","ORGTYPE","ORGNUMBER","SCHNUMBER","FORMID","GISNAME","MDENAME","ALTNAME","GISADDR","MDEADDR","PUBPRIV","LOCTYPE","GRADERANGE","CLASS","MAGNET","LOCDISTID","LOCDISTNAM","COUNTYCODE","COUNTYNAME","CREATEDT","UPDATEDT","FED_SCHNUM","WEB_URL","YEAR","geometry","within_1mile_pp","schools_in_ej","nearest_pp_id","nearest_pp_dist_m","nearest_pp_dist_mi","zip_code"
"72",72,72,2.30001e+11,"23","0001","000","0001-23","University of Minnesota Twin Cities","University of Minnesota Twin Cities",NA,"159 Pillsbury Ave SE, Minneapolis, MN 55455","159 Pillsbury Ave SE, Minneapolis, MN 55455","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-25,2023-10-24,NA,"http://www.umn.edu/twincities","SY2024-25","c(481312.684","4980639.2012)",TRUE,TRUE,59197,303.289927295741,"0.188456092122076,""55455"""
"73",73,73,2.30002e+11,"23","0002","000","0002-23","University of Minnesota - St. Paul Campus","University of Minnesota - St. Paul Campus",NA,"1420 Eckles Ave, Saint Paul, MN 55108","1420 Eckles Ave, Saint Paul, MN 55108","Public","Head",NA,NA,"NO",1.0623e+10,"Roseville",27123,"Ramsey",2007-10-25,2023-10-24,NA,NA,"SY2024-25","c(485392.8705","4981172.4465)",FALSE,FALSE,59197,4418.16307833853,"2.74532608295235,""55108"""
"74",74,74,2.30007e+11,"23","0007","000","0007-23","U of M Extension","U of M - Extension",NA,"315 Pillsbury Dr SE, Minneapolis, MN 55455",", , MN 00000","Public","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-25,2022-09-19,NA,NA,"SY2024-25","c(481578.5379","4980438.5408)",TRUE,TRUE,59197,590.174572298096,"0.366718389089997,""55455"""
"75",75,75,2.40002e+11,"24","0002","000","0002-24","Bethel University","Bethel University",NA,"3900 Bethel Drive, Saint Paul, MN 55112","3900 Bethel Drive, Saint Paul, MN 55112","Private or Nonpublic","Head",NA,NA,"NO",1.0621e+10,"Mounds View",27123,"Ramsey",2007-10-25,2022-02-28,NA,"http://www.bethel.edu","SY2024-25","c(487397.231","4989443.5806)",FALSE,FALSE,1927,10011.5749203613,"6.22091970643947,""55112"""
"76",76,76,2.40005e+11,"24","0005","000","0005-24","St. Catherine University","St. Catherine University",NA,"2004 Randolph Ave, Saint Paul, MN 55105","2004 Randolph Avenue, Saint Paul, MN 55105","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2022-06-17,NA,"http://www.stkate.edu","SY2024-25","c(485402.5592","4974816.1543)",FALSE,FALSE,57069,1672.22338212235,"1.03907401923916,""55105"""
"77",77,77,2.40008e+11,"24","0008","000","0008-24","University of St. Thomas","University of St. Thomas",NA,"2115 Summit Ave, Saint Paul, MN 55105","2115 Summit Avenue, Saint Paul, MN 55105-1096","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2022-09-19,NA,"http://www.stthomas.edu","SY2024-25","c(484939.292","4976550.5471)",FALSE,TRUE,57069,3033.28176077763,"1.88479858872434,""55105"""
"78",78,78,2.4001e+11,"24","0010","000","0010-24","Concordia University-St. Paul","Concordia University-St. Paul",NA,"275 Syndicate St N, Saint Paul, MN 55104","275 Syndicate Street North, Saint Paul, MN 55104-5494","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2022-03-11,NA,"http://www.csp.edu","SY2024-25","c(487759.5136","4977287.9486)",FALSE,TRUE,55824,3929.19920660643,"2.44149726385129,""55104"""
"79",79,79,2.40012e+11,"24","0012","000","0012-24","Hamline University","Hamline University",NA,"1536 Hewitt Avenue, Saint Paul, MN 55104","1536 Hewitt Avenue, Saint Paul, MN 55104","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2008-04-01,2022-03-23,NA,"http://www.hamline.edu","SY2024-25","c(486956.8592","4979265.834)",FALSE,TRUE,55824,4948.50206338244,"3.07486426944116,""55104"""
"80",80,80,2.40013e+11,"24","0013","000","0013-24","Macalester College","Macalester College",NA,"1600 Grand Ave, Saint Paul, MN 55105","1600 Grand Avenue, Saint Paul, MN 55105","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2022-04-25,NA,"http://www.macalester.edu","SY2024-25","c(486770.2171","4976240.7598)",FALSE,FALSE,57069,3646.97671956739,"2.26613190473572,""55105"""
"81",81,81,2.40014e+11,"24","0014","000","0014-24","Minneapolis College of Art and Design","Minneapolis College of Art and Design",NA,"2501 Stevens Ave S, Minneapolis, MN 55404","2501 Stevens Ave, Minneapolis, MN 55404","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-25,2023-10-24,NA,"https://www.mcad.edu/","SY2024-25","c(478318.9648","4978197.1991)",FALSE,TRUE,10013,2966.70158438202,"1.84342748231078,""55404"""
